latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.78858,-73.9661,33.0,-14400,America/New_York,GMT-4

time,temperature_2m_max (°F),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),precipitation_hours (h),precipitation_probability_max (%),wind_gusts_10m_max (mp/h),wind_speed_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),weather_code (wmo code),temperature_2m_min (°F),cloud_cover_mean (%),dew_point_2m_mean (°F),relative_humidity_2m_mean (%),surface_pressure_mean (hPa),wind_speed_10m_mean (mp/h)
2022-01-01,54.3,2022-01-01T08:20,2022-01-01T17:38,33521.71,0.00,0.500,9.0,NaN,14.8,8.4,168,2.79,63,49.7,100,50.7,96,1005.0,3.8
2022-01-02,56.8,2022-01-02T08:20,2022-01-02T17:39,33566.34,0.00,0.016,1.0,NaN,25.9,13.1,295,1.74,51,36.8,99,47.0,88,1000.3,7.3
2022-01-03,36.7,2022-01-03T08:20,2022-01-03T17:40,33614.83,0.00,0.000,0.0,NaN,28.9,17.3,348,4.32,3,22.5,91,15.3,56,1014.9,10.6
2022-01-04,34.0,2022-01-04T08:20,2022-01-04T17:41,33667.68,30878.93,0.000,0.0,NaN,24.6,12.0,277,9.68,1,17.6,6,10.6,54,1023.7,5.6
2022-01-05,44.9,2022-01-05T08:20,2022-01-05T17:42,33724.80,0.00,0.185,4.0,NaN,26.8,9.1,203,2.70,63,27.3,80,32.0,85,1011.0,4.9
2022-01-06,38.9,2022-01-06T08:20,2022-01-06T17:43,33786.05,25200.00,0.000,0.0,NaN,26.8,13.5,263,9.54,3,32.2,68,21.9,59,1006.8,6.9
2022-01-07,33.4,2022-01-07T08:19,2022-01-07T17:44,33851.28,24071.85,0.472,8.0,NaN,31.1,16.6,302,9.47,75,25.0,56,20.0,70,1007.9,11.0
2022-01-08,29.6,2022-01-08T08:19,2022-01-08T17:45,33920.34,30904.34,0.000,0.0,NaN,31.8,19.6,288,10.34,1,20.5,3,7.8,48,1028.0,7.7
2022-01-09,39.0,2022-01-09T08:19,2022-01-09T17:46,33993.09,0.00,0.102,5.0,NaN,33.3,12.2,214,3.38,53,25.1,72,25.1,72,1019.6,6.9
2022-01-10,39.1,2022-01-10T08:19,2022-01-10T17:47,34069.39,30930.08,0.000,0.0,NaN,30.6,15.3,284,10.00,3,27.2,48,14.5,52,1014.9,12.0
2022-01-11,25.3,2022-01-11T08:19,2022-01-11T17:48,34149.10,30946.16,0.000,0.0,NaN,30.9,16.2,300,10.69,3,15.8,18,-0.3,43,1026.2,9.9
2022-01-12,39.8,2022-01-12T08:18,2022-01-12T17:49,34232.07,30964.35,0.000,0.0,NaN,32.9,13.4,216,9.70,3,16.3,19,13.2,53,1019.3,5.4
2022-01-13,46.6,2022-01-13T08:18,2022-01-13T17:50,34318.16,17978.94,0.000,0.0,NaN,8.9,5.0,36,8.88,3,30.6,59,26.1,65,1011.3,2.1
2022-01-14,42.1,2022-01-14T08:18,2022-01-14T17:51,34407.22,25857.29,0.000,0.0,NaN,37.8,20.1,344,9.68,3,25.4,77,28.4,73,1005.4,10.8
2022-01-15,24.1,2022-01-15T08:17,2022-01-15T17:52,34499.13,27431.48,0.000,0.0,NaN,31.5,15.0,340,10.50,3,11.1,27,-1.1,47,1019.4,9.9
2022-01-16,33.4,2022-01-16T08:17,2022-01-16T17:53,34593.73,16573.40,0.087,3.0,NaN,27.3,13.0,21,7.56,73,7.1,56,8.7,67,1021.4,7.4
2022-01-17,42.0,2022-01-17T08:16,2022-01-17T17:55,34690.90,0.00,1.394,8.0,NaN,53.2,19.8,189,2.75,65,33.6,100,31.9,80,986.7,14.6
2022-01-18,36.2,2022-01-18T08:16,2022-01-18T17:56,34790.50,28928.89,0.000,0.0,NaN,39.6,19.6,289,10.57,3,29.7,44,15.5,50,1005.8,13.2
2022-01-19,49.3,2022-01-19T08:15,2022-01-19T17:57,34892.38,18000.00,0.000,0.0,NaN,34.4,13.2,193,8.54,3,25.5,60,22.5,56,1013.9,6.9
2022-01-20,44.9,2022-01-20T08:15,2022-01-20T17:58,34996.42,10184.58,0.311,8.0,NaN,19.2,11.1,309,5.57,73,26.3,93,25.3,67,1015.9,7.9
2022-01-21,25.1,2022-01-21T08:14,2022-01-21T17:59,35102.50,10401.70,0.000,0.0,NaN,26.6,13.6,352,8.47,3,12.6,79,0.9,47,1028.9,10.3
2022-01-22,29.1,2022-01-22T08:14,2022-01-22T18:00,35210.48,31259.81,0.000,0.0,NaN,22.4,9.4,354,11.28,3,10.8,36,4.5,51,1023.7,5.5
2022-01-23,36.8,2022-01-23T08:13,2022-01-23T18:02,35320.62,30304.44,0.016,1.0,NaN,16.3,9.4,234,11.26,73,20.9,42,10.8,49,1009.2,5.5
2022-01-24,32.4,2022-01-24T08:12,2022-01-24T18:03,35434.04,18000.00,0.000,0.0,NaN,19.9,8.5,338,9.01,3,27.9,71,22.2,72,1007.4,4.2
2022-01-25,41.9,2022-01-25T08:11,2022-01-25T18:04,35550.64,29272.38,0.000,0.0,NaN,24.2,11.7,277,9.65,3,30.3,48,24.0,63,1009.9,5.5
2022-01-26,29.8,2022-01-26T08:11,2022-01-26T18:05,35670.23,31436.89,0.000,0.0,NaN,20.1,13.3,323,12.06,3,19.5,13,4.3,43,1022.4,8.3
2022-01-27,31.6,2022-01-27T08:10,2022-01-27T18:06,35792.62,31486.78,0.000,0.0,NaN,16.1,10.3,160,11.79,3,13.2,21,7.0,51,1025.3,4.4
