date,location,actual_high,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,temperature_2m_min,daylight_duration,sunshine_duration,shortwave_radiation_sum,precipitation_hours,wind_direction_10m_dominant,cloud_cover_mean,wind_speed_10m_mean,surface_pressure_mean,sunrise,sunset
2022-01-01,NYC,53.3,0.764,8.6,13.9,63,45.8,33514.39,0.0,1.66,19.0,161,100,4.3,1004.9,2022-01-01T08:20,2022-01-01T17:39
2022-01-02,NYC,55.8,0.63,15.6,32.7,65,37.0,33559.05,0.0,2.22,8.0,318,100,8.5,1000.6,2022-01-02T08:20,2022-01-02T17:39
2022-01-03,NYC,35.8,0.055,18.2,34.4,73,24.3,33607.58,0.0,1.35,6.0,359,87,12.3,1015.2,2022-01-03T08:20,2022-01-03T17:40
2022-01-04,NYC,33.5,0.0,12.4,22.6,3,20.2,33660.48,33001.32,9.21,0.0,287,26,7.2,1023.8,2022-01-04T08:20,2022-01-04T17:41
2022-01-05,NYC,44.7,0.02,13.5,23.7,51,28.5,33717.64,0.0,3.14,4.0,216,89,7.9,1011.0,2022-01-05T08:20,2022-01-05T17:42
2022-01-06,NYC,39.7,0.0,12.5,23.7,3,30.9,33778.94,28685.25,8.49,0.0,269,83,7.9,1007.1,2022-01-06T08:20,2022-01-06T17:43
2022-01-07,NYC,32.2,0.354,16.6,30.2,75,22.0,33844.22,26352.19,8.92,11.0,313,61,11.7,1008.1,2022-01-07T08:20,2022-01-07T17:44
2022-01-08,NYC,26.2,0.0,13.4,23.5,1,17.1,33913.33,33320.06,10.0,0.0,277,9,7.7,1028.4,2022-01-08T08:20,2022-01-08T17:45
2022-01-09,NYC,39.4,0.201,14.8,26.2,53,22.7,33986.14,3600.0,2.96,12.0,220,96,10.5,1019.7,2022-01-09T08:19,2022-01-09T17:46
2022-01-10,NYC,39.7,0.0,15.0,27.5,3,24.5,34062.51,33145.01,9.92,0.0,295,37,12.1,1015.5,2022-01-10T08:19,2022-01-10T17:47
2022-01-11,NYC,24.7,0.0,16.6,31.5,1,16.4,34142.28,32131.76,10.0,0.0,316,7,10.8,1026.5,2022-01-11T08:19,2022-01-11T17:48
2022-01-12,NYC,40.5,0.0,12.8,24.4,3,19.0,34225.31,33600.33,8.77,0.0,213,63,9.1,1019.3,2022-01-12T08:19,2022-01-12T17:49
2022-01-13,NYC,45.0,0.0,6.0,11.6,3,25.6,34311.46,25115.27,8.22,0.0,193,92,3.9,1011.7,2022-01-13T08:18,2022-01-13T17:50
2022-01-14,NYC,41.2,0.0,21.5,38.9,3,23.2,34400.6,29573.76,8.2,0.0,358,81,13.5,1005.9,2022-01-14T08:18,2022-01-14T17:51
2022-01-15,NYC,22.7,0.0,13.9,28.6,3,12.2,34492.58,33908.71,9.95,0.0,345,46,9.6,1019.5,2022-01-15T08:18,2022-01-15T17:52
2022-01-16,NYC,34.5,0.173,17.5,29.3,75,8.0,34587.26,13761.05,5.54,4.0,36,56,8.9,1021.5,2022-01-16T08:17,2022-01-16T17:54
2022-01-17,NYC,49.6,1.323,33.6,62.0,73,32.9,34684.5,3832.3,4.19,12.0,183,95,17.6,986.4,2022-01-17T08:17,2022-01-17T17:55
2022-01-18,NYC,35.3,0.0,19.2,36.2,3,23.4,34784.17,31048.57,7.9,0.0,294,50,12.7,1006.4,2022-01-18T08:16,2022-01-18T17:56
2022-01-19,NYC,45.9,0.0,14.6,26.8,3,23.5,34886.13,18189.45,6.84,0.0,208,79,8.9,1014.3,2022-01-19T08:16,2022-01-19T17:57
2022-01-20,NYC,41.6,0.287,13.8,24.8,73,22.3,34990.27,17644.66,6.04,10.0,315,85,10.4,1016.4,2022-01-20T08:15,2022-01-20T17:58
2022-01-21,NYC,22.6,0.0,13.6,24.8,3,11.4,35096.42,30017.09,9.56,0.0,2,81,11.5,1029.1,2022-01-21T08:14,2022-01-21T17:59
2022-01-22,NYC,29.8,0.0,11.4,20.4,3,10.0,35204.48,34629.78,11.24,0.0,1,41,6.9,1023.8,2022-01-22T08:14,2022-01-22T18:01
2022-01-23,NYC,37.2,0.02,8.8,17.4,71,21.2,35314.71,26147.61,9.38,3.0,243,66,6.4,1009.2,2022-01-23T08:13,2022-01-23T18:02
2022-01-24,NYC,32.6,0.012,9.4,19.2,71,27.3,35428.21,25770.19,7.56,2.0,307,91,4.4,1007.5,2022-01-24T08:12,2022-01-24T18:03
2022-01-25,NYC,43.5,0.0,10.5,21.0,3,25.2,35544.9,26311.67,8.0,0.0,270,63,6.5,1010.0,2022-01-25T08:12,2022-01-25T18:04
2022-01-26,NYC,26.7,0.0,12.7,24.6,0,17.8,35664.58,35021.05,11.72,0.0,328,0,9.2,1022.9,2022-01-26T08:11,2022-01-26T18:05
2022-01-27,NYC,31.6,0.0,11.6,23.0,3,14.9,35787.07,35070.98,11.35,0.0,184,16,5.6,1025.3,2022-01-27T08:10,2022-01-27T18:07
2022-01-28,NYC,34.0,0.094,11.6,19.5,73,26.7,35912.17,0.0,4.06,13.0,251,100,4.9,1016.0,2022-01-28T08:09,2022-01-28T18:08
2022-01-29,NYC,29.1,0.693,24.7,45.2,75,9.0,36039.71,0.0,4.23,19.0,336,98,17.8,1003.3,2022-01-29T08:08,2022-01-29T18:09
2022-01-30,NYC,22.5,0.0,17.7,31.1,3,7.3,36169.51,35232.79,12.68,0.0,290,28,10.1,1011.3,2022-01-30T08:07,2022-01-30T18:10
2022-01-31,NYC,26.1,0.0,7.6,11.2,3,1.4,36301.4,35290.42,11.49,0.0,23,38,4.2,1023.0,2022-01-31T08:06,2022-01-31T18:12
2022-02-01,NYC,30.6,0.0,7.6,13.2,3,8.1,36435.2,35349.75,12.62,0.0,36,30,5.8,1029.5,2022-02-01T08:05,2022-02-01T18:13
2022-02-02,NYC,39.0,0.0,6.6,10.1,3,19.3,36570.74,28990.73,9.85,0.0,93,96,4.0,1026.4,2022-02-02T08:04,2022-02-02T18:14
2022-02-03,NYC,48.7,0.516,9.2,14.8,61,36.3,36707.87,0.0,2.11,17.0,194,100,5.7,1019.5,2022-02-03T08:03,2022-02-03T18:15
2022-02-04,NYC,54.8,1.047,18.4,31.3,71,28.0,36846.4,0.0,1.94,23.0,313,100,12.5,1009.3,2022-02-04T08:02,2022-02-04T18:17
2022-02-05,NYC,28.8,0.016,16.6,31.3,71,19.9,36986.19,32400.0,12.8,3.0,322,42,12.4,1019.8,2022-02-05T08:01,2022-02-05T18:18
2022-02-06,NYC,29.8,0.0,10.1,19.7,3,16.4,37127.09,35668.95,11.96,0.0,83,29,5.9,1031.4,2022-02-06T08:00,2022-02-06T18:19
2022-02-07,NYC,37.3,0.169,8.5,15.2,73,23.4,37268.93,0.0,2.31,13.0,7,96,6.1,1021.6,2022-02-07T07:59,2022-02-07T18:20
2022-02-08,NYC,46.5,0.154,15.5,27.5,55,29.8,37411.57,32300.58,12.79,5.0,301,37,9.9,1010.0,2022-02-08T07:58,2022-02-08T18:21
2022-02-09,NYC,41.6,0.0,10.3,20.8,1,23.9,37554.86,35954.72,13.19,0.0,203,1,7.1,1013.4,2022-02-09T07:57,2022-02-09T18:23
2022-02-10,NYC,51.7,0.0,20.2,36.9,3,31.8,37698.66,35987.2,12.8,0.0,244,28,8.5,1007.8,2022-02-10T07:56,2022-02-10T18:24
2022-02-11,NYC,53.5,0.0,16.5,29.5,3,25.5,37842.82,36002.46,13.69,0.0,188,17,8.4,1010.6,2022-02-11T07:54,2022-02-11T18:25
2022-02-12,NYC,55.8,0.0,15.5,27.5,3,42.9,37987.65,36000.0,11.73,0.0,252,84,11.2,1009.9,2022-02-12T07:53,2022-02-12T18:26
2022-02-13,NYC,41.1,0.205,10.8,18.8,73,26.3,38134.41,0.0,3.22,17.0,8,100,8.0,1015.8,2022-02-13T07:52,2022-02-13T18:28
2022-02-14,NYC,26.1,0.0,16.4,30.6,3,13.5,38283.05,36527.12,15.07,0.0,316,14,11.4,1017.3,2022-02-14T07:51,2022-02-14T18:29
2022-02-15,NYC,31.8,0.0,8.0,17.7,3,15.6,38433.42,36806.39,14.99,0.0,276,6,6.2,1031.9,2022-02-15T07:49,2022-02-15T18:30
2022-02-16,NYC,43.4,0.0,13.1,25.5,3,23.1,38585.37,26753.18,12.25,0.0,187,66,8.4,1032.8,2022-02-16T07:48,2022-02-16T18:31
2022-02-17,NYC,62.2,0.087,19.7,35.1,61,41.4,38738.74,20028.97,8.6,2.0,201,100,15.5,1016.0,2022-02-17T07:47,2022-02-17T18:32
2022-02-18,NYC,60.3,0.469,27.4,49.2,63,27.2,38893.39,33720.13,13.99,6.0,261,48,18.0,1002.7,2022-02-18T07:45,2022-02-18T18:34
2022-02-19,NYC,38.1,0.016,22.0,40.0,71,22.3,39049.17,26795.25,10.07,4.0,260,29,12.1,1012.5,2022-02-19T07:44,2022-02-19T18:35
2022-02-20,NYC,36.6,0.0,14.6,27.5,3,20.3,39205.94,37554.03,15.01,0.0,250,22,9.7,1025.2,2022-02-20T07:42,2022-02-20T18:36
2022-02-21,NYC,50.0,0.0,11.9,21.9,3,28.9,39363.57,37827.63,14.9,0.0,192,29,7.0,1022.8,2022-02-21T07:41,2022-02-21T18:37
2022-02-22,NYC,56.7,0.185,23.9,47.2,61,31.9,39521.91,13033.66,5.98,8.0,175,95,10.1,1019.2,2022-02-22T07:40,2022-02-22T18:38
2022-02-23,NYC,65.9,0.004,18.1,33.8,51,38.5,39680.84,24854.16,10.6,1.0,261,88,13.8,1011.7,2022-02-23T07:38,2022-02-23T18:40
