timestamp,date,location,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,is_day
2022-01-01 00:00:00,2022-01-01,NYC,46.2,100,46.1,0.0,0.0,3,1009.4,100,100,66,91,2.1,148,4.7,0.0,0.0,0.0,0
2022-01-01 01:00:00,2022-01-01,NYC,46.2,100,46.1,0.0,0.0,3,1009.2,100,100,35,100,4.0,164,6.3,0.0,0.0,0.0,0
2022-01-01 02:00:00,2022-01-01,NYC,46.6,100,46.5,0.0,0.0,3,1009.3,100,100,100,100,2.9,148,7.4,0.0,0.0,0.0,0
2022-01-01 03:00:00,2022-01-01,NYC,46.1,100,46.0,0.0,0.0,3,1008.4,100,100,100,98,4.6,133,7.6,0.0,0.0,0.0,0
2022-01-01 04:00:00,2022-01-01,NYC,45.8,100,45.7,0.004,0.004,51,1008.4,100,100,100,100,2.9,99,8.5,0.0,0.0,0.0,0
2022-01-01 05:00:00,2022-01-01,NYC,45.9,100,45.8,0.0,0.0,3,1007.2,100,100,100,100,5.8,148,9.2,0.0,0.0,0.0,0
2022-01-01 06:00:00,2022-01-01,NYC,46.7,99,46.5,0.071,0.071,61,1006.5,100,100,100,100,3.7,128,9.2,0.0,0.0,0.0,0
2022-01-01 07:00:00,2022-01-01,NYC,47.4,99,47.2,0.055,0.055,61,1006.2,100,100,100,100,3.8,140,9.8,0.0,0.0,0.0,0
2022-01-01 08:00:00,2022-01-01,NYC,47.1,100,47.0,0.02,0.02,53,1006.2,100,100,100,100,2.1,58,7.6,0.0,0.0,0.0,0
2022-01-01 09:00:00,2022-01-01,NYC,48.7,100,48.7,0.024,0.024,53,1006.1,100,100,100,100,4.8,131,8.1,3.0,0.0,3.0,1
2022-01-01 10:00:00,2022-01-01,NYC,49.7,100,49.6,0.024,0.024,53,1006.4,100,100,100,100,4.7,199,7.6,43.0,0.0,43.0,1
2022-01-01 11:00:00,2022-01-01,NYC,50.3,99,50.0,0.024,0.024,53,1006.7,100,78,100,100,6.8,214,11.0,42.0,0.0,42.0,1
2022-01-01 12:00:00,2022-01-01,NYC,52.0,98,51.4,0.016,0.016,51,1005.6,100,25,100,100,6.0,219,11.4,114.0,2.0,112.0,1
