date,location,actual_high,forecast_high,forecast_error,forecast_source
2022-01-01,NYC,53.3,54.3,-1.0,open_meteo_historical_forecast
2022-01-02,NYC,55.8,56.8,-1.0,open_meteo_historical_forecast
2022-01-03,NYC,35.8,36.7,-0.9000000000000057,open_meteo_historical_forecast
2022-01-04,NYC,33.5,34.0,-0.5,open_meteo_historical_forecast
2022-01-05,NYC,44.7,44.9,-0.19999999999999574,open_meteo_historical_forecast
2022-01-06,NYC,39.7,38.9,0.8000000000000043,open_meteo_historical_forecast
2022-01-07,NYC,32.2,33.4,-1.1999999999999957,open_meteo_historical_forecast
2022-01-08,NYC,26.2,29.6,-3.400000000000002,open_meteo_historical_forecast
2022-01-09,NYC,39.4,39.0,0.3999999999999986,open_meteo_historical_forecast
2022-01-10,NYC,39.7,39.1,0.6000000000000014,open_meteo_historical_forecast
2022-01-11,NYC,24.7,25.3,-0.6000000000000014,open_meteo_historical_forecast
2022-01-12,NYC,40.5,39.8,0.7000000000000028,open_meteo_historical_forecast
2022-01-13,NYC,45.0,46.6,-1.6000000000000014,open_meteo_historical_forecast
2022-01-14,NYC,41.2,42.1,-0.8999999999999986,open_meteo_historical_forecast
2022-01-15,NYC,22.7,24.1,-1.4000000000000021,open_meteo_historical_forecast
2022-01-16,NYC,34.5,33.4,1.1000000000000014,open_meteo_historical_forecast
2022-01-17,NYC,49.6,42.0,7.600000000000001,open_meteo_historical_forecast
2022-01-18,NYC,35.3,36.2,-0.9000000000000057,open_meteo_historical_forecast
2022-01-19,NYC,45.9,49.3,-3.3999999999999986,open_meteo_historical_forecast
2022-01-20,NYC,41.6,44.9,-3.299999999999997,open_meteo_historical_forecast
2022-01-21,NYC,22.6,25.1,-2.5,open_meteo_historical_forecast
2022-01-22,NYC,29.8,29.1,0.6999999999999993,open_meteo_historical_forecast
2022-01-23,NYC,37.2,36.8,0.4000000000000057,open_meteo_historical_forecast
2022-01-24,NYC,32.6,32.4,0.20000000000000284,open_meteo_historical_forecast
2022-01-25,NYC,43.5,41.9,1.6000000000000014,open_meteo_historical_forecast
2022-01-26,NYC,26.7,29.8,-3.1000000000000014,open_meteo_historical_forecast
2022-01-27,NYC,31.6,31.6,0.0,open_meteo_historical_forecast
2022-01-28,NYC,34.0,33.1,0.8999999999999986,open_meteo_historical_forecast
2022-01-29,NYC,29.1,28.7,0.40000000000000213,open_meteo_historical_forecast
2022-01-30,NYC,22.5,24.6,-2.1000000000000014,open_meteo_historical_forecast
