latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-74.0199,33.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m_min (°F),temperature_2m_max (°F),sunset (iso8601),sunrise (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),cloud_cover_mean (%),dew_point_2m_mean (°F),relative_humidity_2m_mean (%),wind_speed_10m_mean (mp/h),surface_pressure_mean (hPa)
2022-01-01,63,45.8,53.3,2022-01-01T17:39,2022-01-01T08:20,33514.39,0.00,0.764,19.0,8.6,13.9,161,1.66,100,49.3,99,4.3,1004.9
2022-01-02,65,37.0,55.8,2022-01-02T17:39,2022-01-02T08:20,33559.05,0.00,0.630,8.0,15.6,32.7,318,2.22,100,45.5,88,8.5,1000.6
2022-01-03,73,24.3,35.8,2022-01-03T17:40,2022-01-03T08:20,33607.58,0.00,0.055,6.0,18.2,34.4,359,1.35,87,13.4,50,12.3,1015.2
2022-01-04,3,20.2,33.5,2022-01-04T17:41,2022-01-04T08:20,33660.48,33001.32,0.000,0.0,12.4,22.6,287,9.21,26,10.5,51,7.2,1023.8
2022-01-05,51,28.5,44.7,2022-01-05T17:42,2022-01-05T08:20,33717.64,0.00,0.020,4.0,13.5,23.7,216,3.14,89,31.2,84,7.9,1011.0
2022-01-06,3,30.9,39.7,2022-01-06T17:43,2022-01-06T08:20,33778.94,28685.25,0.000,0.0,12.5,23.7,269,8.49,83,23.8,65,7.9,1007.1
2022-01-07,75,22.0,32.2,2022-01-07T17:44,2022-01-07T08:20,33844.22,26352.19,0.354,11.0,16.6,30.2,313,8.92,61,21.0,72,11.7,1008.1
2022-01-08,1,17.1,26.2,2022-01-08T17:45,2022-01-08T08:20,33913.33,33320.06,0.000,0.0,13.4,23.5,277,10.00,9,13.1,71,7.7,1028.4
2022-01-09,53,22.7,39.4,2022-01-09T17:46,2022-01-09T08:19,33986.14,3600.00,0.201,12.0,14.8,26.2,220,2.96,96,28.5,85,10.5,1019.7
2022-01-10,3,24.5,39.7,2022-01-10T17:47,2022-01-10T08:19,34062.51,33145.01,0.000,0.0,15.0,27.5,295,9.92,37,14.6,55,12.1,1015.5
2022-01-11,1,16.4,24.7,2022-01-11T17:48,2022-01-11T08:19,34142.28,32131.76,0.000,0.0,16.6,31.5,316,10.00,7,-1.6,40,10.8,1026.5
2022-01-12,3,19.0,40.5,2022-01-12T17:49,2022-01-12T08:19,34225.31,33600.33,0.000,0.0,12.8,24.4,213,8.77,63,12.9,53,9.1,1019.3
2022-01-13,3,25.6,45.0,2022-01-13T17:50,2022-01-13T08:18,34311.46,25115.27,0.000,0.0,6.0,11.6,193,8.22,92,25.7,74,3.9,1011.7
2022-01-14,3,23.2,41.2,2022-01-14T17:51,2022-01-14T08:18,34400.60,29573.76,0.000,0.0,21.5,38.9,358,8.20,81,27.2,75,13.5,1005.9
2022-01-15,3,12.2,22.7,2022-01-15T17:52,2022-01-15T08:18,34492.58,33908.71,0.000,0.0,13.9,28.6,345,9.95,46,-5.5,36,9.6,1019.5
2022-01-16,75,8.0,34.5,2022-01-16T17:54,2022-01-16T08:17,34587.26,13761.05,0.173,4.0,17.5,29.3,36,5.54,56,6.0,57,8.9,1021.5
2022-01-17,73,32.9,49.6,2022-01-17T17:55,2022-01-17T08:17,34684.50,3832.30,1.323,12.0,33.6,62.0,183,4.19,95,32.9,81,17.6,986.4
2022-01-18,3,23.4,35.3,2022-01-18T17:56,2022-01-18T08:16,34784.17,31048.57,0.000,0.0,19.2,36.2,294,7.90,50,16.3,57,12.7,1006.4
2022-01-19,3,23.5,45.9,2022-01-19T17:57,2022-01-19T08:16,34886.13,18189.45,0.000,0.0,14.6,26.8,208,6.84,79,25.3,69,8.9,1014.3
2022-01-20,73,22.3,41.6,2022-01-20T17:58,2022-01-20T08:15,34990.27,17644.66,0.287,10.0,13.8,24.8,315,6.04,85,23.9,69,10.4,1016.4
2022-01-21,3,11.4,22.6,2022-01-21T17:59,2022-01-21T08:14,35096.42,30017.09,0.000,0.0,13.6,24.8,2,9.56,81,0.2,47,11.5,1029.1
2022-01-22,3,10.0,29.8,2022-01-22T18:01,2022-01-22T08:14,35204.48,34629.78,0.000,0.0,11.4,20.4,1,11.24,41,3.5,50,6.9,1023.8
2022-01-23,71,21.2,37.2,2022-01-23T18:02,2022-01-23T08:13,35314.71,26147.61,0.020,3.0,8.8,17.4,243,9.38,66,8.8,45,6.4,1009.2
2022-01-24,71,27.3,32.6,2022-01-24T18:03,2022-01-24T08:12,35428.21,25770.19,0.012,2.0,9.4,19.2,307,7.56,91,21.5,72,4.4,1007.5
2022-01-25,3,25.2,43.5,2022-01-25T18:04,2022-01-25T08:12,35544.90,26311.67,0.000,0.0,10.5,21.0,270,8.00,63,24.6,68,6.5,1010.0
2022-01-26,0,17.8,26.7,2022-01-26T18:05,2022-01-26T08:11,35664.58,35021.05,0.000,0.0,12.7,24.6,328,11.72,0,5.7,50,9.2,1022.9
2022-01-27,3,14.9,31.6,2022-01-27T18:07,2022-01-27T08:10,35787.07,35070.98,0.000,0.0,11.6,23.0,184,11.35,16,6.5,51,5.6,1025.3
2022-01-28,73,26.7,34.0,2022-01-28T18:08,2022-01-28T08:09,35912.17,0.00,0.094,13.0,11.6,19.5,251,4.06,100,20.8,69,4.9,1016.0
2022-01-29,75,9.0,29.1,2022-01-29T18:09,2022-01-29T08:08,36039.71,0.00,0.693,19.0,24.7,45.2,336,4.23,98,8.5,71,17.8,1003.3
2022-01-30,3,7.3,22.5,2022-01-30T18:10,2022-01-30T08:07,36169.51,35232.79,0.000,0.0,17.7,31.1,290,12.68,28,3.5,63,10.1,1011.3
2022-01-31,3,1.4,26.1,2022-01-31T18:12,2022-01-31T08:06,36301.40,35290.42,0.000,0.0,7.6,11.2,23,11.49,38,5.9,73,4.2,1023.0
2022-02-01,3,8.1,30.6,2022-02-01T18:13,2022-02-01T08:05,36435.20,35349.75,0.000,0.0,7.6,13.2,36,12.62,30,13.5,76,5.8,1029.5
2022-02-02,3,19.3,39.0,2022-02-02T18:14,2022-02-02T08:04,36570.74,28990.73,0.000,0.0,6.6,10.1,93,9.85,96,29.1,94,4.0,1026.4
2022-02-03,61,36.3,48.7,2022-02-03T18:15,2022-02-03T08:03,36707.87,0.00,0.516,17.0,9.2,14.8,194,2.11,100,41.1,98,5.7,1019.5
2022-02-04,71,28.0,54.8,2022-02-04T18:17,2022-02-04T08:02,36846.40,0.00,1.047,23.0,18.4,31.3,313,1.94,100,36.8,91,12.5,1009.3
2022-02-05,71,19.9,28.8,2022-02-05T18:18,2022-02-05T08:01,36986.19,32400.00,0.016,3.0,16.6,31.3,322,12.80,42,9.7,54,12.4,1019.8
2022-02-06,3,16.4,29.8,2022-02-06T18:19,2022-02-06T08:00,37127.09,35668.95,0.000,0.0,10.1,19.7,83,11.96,29,8.1,55,5.9,1031.4
2022-02-07,73,23.4,37.3,2022-02-07T18:20,2022-02-07T07:59,37268.93,0.00,0.169,13.0,8.5,15.2,7,2.31,96,28.7,87,6.1,1021.6
2022-02-08,55,29.8,46.5,2022-02-08T18:21,2022-02-08T07:58,37411.57,32300.58,0.154,5.0,15.5,27.5,301,12.79,37,28.4,74,9.9,1010.0
2022-02-09,1,23.9,41.6,2022-02-09T18:23,2022-02-09T07:57,37554.86,35954.72,0.000,0.0,10.3,20.8,203,13.19,1,23.0,68,7.1,1013.4
2022-02-10,3,31.8,51.7,2022-02-10T18:24,2022-02-10T07:56,37698.66,35987.20,0.000,0.0,20.2,36.9,244,12.80,28,29.5,68,8.5,1007.8
2022-02-11,3,25.5,53.5,2022-02-11T18:25,2022-02-11T07:54,37842.82,36002.46,0.000,0.0,16.5,29.5,188,13.69,17,28.3,65,8.4,1010.6
2022-02-12,3,42.9,55.8,2022-02-12T18:26,2022-02-12T07:53,37987.65,36000.00,0.000,0.0,15.5,27.5,252,11.73,84,32.1,51,11.2,1009.9
2022-02-13,73,26.3,41.1,2022-02-13T18:28,2022-02-13T07:52,38134.41,0.00,0.205,17.0,10.8,18.8,8,3.22,100,23.9,72,8.0,1015.8
2022-02-14,3,13.5,26.1,2022-02-14T18:29,2022-02-14T07:51,38283.05,36527.12,0.000,0.0,16.4,30.6,316,15.07,14,4.0,52,11.4,1017.3
2022-02-15,3,15.6,31.8,2022-02-15T18:30,2022-02-15T07:49,38433.42,36806.39,0.000,0.0,8.0,17.7,276,14.99,6,2.2,43,6.2,1031.9
2022-02-16,3,23.1,43.4,2022-02-16T18:31,2022-02-16T07:48,38585.37,26753.18,0.000,0.0,13.1,25.5,187,12.25,66,23.6,68,8.4,1032.8
2022-02-17,61,41.4,62.2,2022-02-17T18:32,2022-02-17T07:47,38738.74,20028.97,0.087,2.0,19.7,35.1,201,8.60,100,44.0,74,15.5,1016.0
2022-02-18,63,27.2,60.3,2022-02-18T18:34,2022-02-18T07:45,38893.39,33720.13,0.469,6.0,27.4,49.2,261,13.99,48,31.7,63,18.0,1002.7
2022-02-19,71,22.3,38.1,2022-02-19T18:35,2022-02-19T07:44,39049.17,26795.25,0.016,4.0,22.0,40.0,260,10.07,29,13.5,53,12.1,1012.5
2022-02-20,3,20.3,36.6,2022-02-20T18:36,2022-02-20T07:42,39205.94,37554.03,0.000,0.0,14.6,27.5,250,15.01,22,8.2,45,9.7,1025.2
2022-02-21,3,28.9,50.0,2022-02-21T18:37,2022-02-21T07:41,39363.57,37827.63,0.000,0.0,11.9,21.9,192,14.90,29,27.2,68,7.0,1022.8
2022-02-22,61,31.9,56.7,2022-02-22T18:38,2022-02-22T07:40,39521.91,13033.66,0.185,8.0,23.9,47.2,175,5.98,95,42.6,88,10.1,1019.2
2022-02-23,51,38.5,65.9,2022-02-23T18:40,2022-02-23T07:38,39680.84,24854.16,0.004,1.0,18.1,33.8,261,10.60,88,46.9,74,13.8,1011.7
2022-02-24,3,29.0,36.0,2022-02-24T18:41,2022-02-24T07:37,39840.21,8182.92,0.000,0.0,14.5,25.5,13,6.36,98,13.3,47,8.2,1026.1
2022-02-25,73,28.0,43.4,2022-02-25T18:42,2022-02-25T07:35,39999.91,13088.69,0.705,13.0,16.1,32.9,358,5.47,82,26.8,77,10.3,1016.7
2022-02-26,3,20.2,37.3,2022-02-26T18:43,2022-02-26T07:34,40159.80,34072.98,0.000,0.0,16.1,30.2,308,13.02,74,14.2,55,9.0,1024.5
2022-02-27,3,25.2,46.6,2022-02-27T18:44,2022-02-27T07:32,40319.76,38684.57,0.000,0.0,20.6,36.7,262,16.76,20,18.4,52,12.0,1012.9
2022-02-28,3,23.6,34.9,2022-02-28T18:45,2022-02-28T07:31,40479.66,38059.90,0.000,0.0,14.2,26.6,329,17.24,37,11.5,48,9.0,1019.5
2022-03-01,51,25.6,42.7,2022-03-01T18:47,2022-03-01T07:29,40639.38,12129.75,0.008,2.0,13.9,25.7,172,8.03,91,26.7,70,7.8,1016.9
2022-03-02,3,35.0,50.8,2022-03-02T18:48,2022-03-02T07:28,40798.79,38751.10,0.000,0.0,10.6,21.5,275,16.47,40,31.1,67,7.7,1010.7
2022-03-03,55,26.9,41.6,2022-03-03T18:49,2022-03-03T07:26,40957.78,38707.93,0.154,6.0,15.3,28.0,305,17.46,50,21.3,55,12.5,1013.1
2022-03-04,3,19.5,37.9,2022-03-04T18:50,2022-03-04T07:25,41116.63,40024.66,0.000,0.0,12.6,23.9,280,18.19,21,10.1,48,6.9,1028.3
2022-03-05,51,24.3,42.6,2022-03-05T18:51,2022-03-05T07:23,41276.53,28004.84,0.004,1.0,11.0,19.7,176,12.11,94,22.3,62,6.0,1027.6
