cycle_id,fetched_at,status,n_markets_matched,n_markets_scraped,n_level_rows,n_summary_rows,n_violations,n_failures,n_warnings,violation_summary,levels_path,summary_path,raw_path
20260822T165801Z,2026-08-22T16:58:01.435712+00:00,OK,12,12,714,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T165801Z.jsonl
20260822T170228Z,2026-08-22T17:02:28.724061+00:00,OK,12,12,712,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T170228Z.jsonl
20260822T180003Z,2026-08-22T18:00:03.153939+00:00,OK,12,12,696,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T180003Z.jsonl
20260822T180531Z,2026-08-22T18:05:31.338630+00:00,OK,12,12,698,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T180531Z.jsonl
20260822T190002Z,2026-08-22T19:00:02.414933+00:00,OK,12,12,708,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T190002Z.jsonl
20260822T200002Z,2026-08-22T20:00:02.658868+00:00,OK,12,12,694,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T200002Z.jsonl
20260822T210002Z,2026-08-22T21:00:02.786237+00:00,OK,12,12,632,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T210002Z.jsonl
20260822T220004Z,2026-08-22T22:00:04.612897+00:00,OK,12,12,624,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T220004Z.jsonl
20260822T230002Z,2026-08-22T23:00:02.716702+00:00,OK,12,12,616,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\22\20260822T230002Z.jsonl
20260823T000003Z,2026-08-23T00:00:03.464918+00:00,OK,12,12,624,12,0,0,0,{},C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_levels_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\orderbook_summary_202608.csv,C:\Weather Trading\Kalshi-Weather-Trading\data\raw\kalshi_orderbooks\raw\2026\08\23\20260823T000003Z.jsonl
