split,bucket_schema,bucket,brier_score,mean_predicted_probability,empirical_frequency,calibration_gap,count,interval_log_loss,mean_bucket_brier
validation,kalshi_around_forecast_bucket_index,market_bucket_0,0.054583473187778724,0.11376609551744397,0.08196721311475409,0.03179888240268988,8784,0.9273961022323105,0.07916276739324467
validation,kalshi_around_forecast_bucket_index,market_bucket_1,0.1230155166531216,0.28043328090864333,0.2540983606557377,0.026334920252905625,8784,0.9273961022323105,0.07916276739324467
validation,kalshi_around_forecast_bucket_index,market_bucket_2,0.1592096772578432,0.38751876063166135,0.4180327868852459,-0.03051402625358457,8784,0.9273961022323105,0.07916276739324467
validation,kalshi_around_forecast_bucket_index,market_bucket_3,0.09315583556637527,0.15088262990512305,0.18032786885245902,-0.029445238947335972,8784,0.9273961022323105,0.07916276739324467
validation,kalshi_around_forecast_bucket_index,market_bucket_4,0.03277225730532075,0.050122068958258215,0.04918032786885246,0.0009417410894057565,8784,0.9273961022323105,0.07916276739324467
validation,kalshi_around_forecast_bucket_index,market_bucket_5,0.012239844389028358,0.017277164078870044,0.01639344262295082,0.000883721455919223,8784,0.9273961022323105,0.07916276739324467
test,kalshi_around_forecast_bucket_index,market_bucket_0,0.09189715183421812,0.12470705311132671,0.16633663366336635,-0.041629580552039636,12120,0.9921541807433862,0.08527049929209092
test,kalshi_around_forecast_bucket_index,market_bucket_1,0.1389010893837612,0.2856215367454931,0.27920792079207923,0.006413615953413887,12120,0.9921541807433862,0.08527049929209092
test,kalshi_around_forecast_bucket_index,market_bucket_2,0.1365490982599194,0.3585410686133342,0.30297029702970296,0.05557077158363122,12120,0.9921541807433862,0.08527049929209092
test,kalshi_around_forecast_bucket_index,market_bucket_3,0.09180236180288961,0.15415352672084395,0.17227722772277226,-0.01812370100192831,12120,0.9921541807433862,0.08527049929209092
test,kalshi_around_forecast_bucket_index,market_bucket_4,0.03742582021207873,0.05796923366957542,0.0594059405940594,-0.0014367069244839853,12120,0.9921541807433862,0.08527049929209092
test,kalshi_around_forecast_bucket_index,market_bucket_5,0.015047474259678405,0.019007581139426594,0.019801980198019802,-0.0007943990585932079,12120,0.9921541807433862,0.08527049929209092
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_0,0.07621769559472695,0.12010958987440237,0.13088404133180254,-0.010774451457400164,20904,0.9649424049281695,0.08270398967673186
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_1,0.132225865940117,0.2834413970941877,0.26865671641791045,0.014784680676277251,20904,0.9649424049281695,0.08270398967673186
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_2,0.1460712244519287,0.3707176877622524,0.3513203214695752,0.019397366292677187,20904,0.9649424049281695,0.08270398967673186
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_3,0.09237110049110517,0.1527790740979348,0.1756601607347876,-0.022881086636852788,20904,0.9649424049281695,0.08270398967673186
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_4,0.035470362090524864,0.05467180280351101,0.05510907003444317,-0.00043726723093215347,20904,0.9649424049281695,0.08270398967673186
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_5,0.013867689491988489,0.01828044836771167,0.018369690011481057,-8.924164376938534e-05,20904,0.9649424049281695,0.08270398967673186
