feature,missing_count,missing_fraction
cloud_cover_next_3h,38424,1.0
forecast_spread,38424,1.0
model_disagreement,38424,1.0
precip_probability_next_3h,38424,1.0
temp_change_30m,38424,1.0
nws_wind_gust_kt,32024,0.833437434936498
nws_wind_dir,15132,0.3938163647720175
wind_dir_cos,15132,0.3938163647720175
wind_dir_sin,15132,0.3938163647720175
nws_wind_speed_kt,3102,0.08073079325421612
wind_speed,3102,0.08073079325421612
needed_warming_rate_minus_recent_rate,1717,0.04468561315844264
forecast_current_temp_gap_per_hour_to_peak,1635,0.04255153029356652
current_temp_minus_max_so_far,1627,0.04234332708723714
nws_current_minus_max_so_far,1627,0.04234332708723714
area_under_temp_curve_so_far,1606,0.04179679367062253
hour_of_max_temp_so_far,1606,0.04179679367062253
max_so_far_minus_forecast_high,1606,0.04179679367062253
max_so_far_minus_forecast_max_so_far,1606,0.04179679367062253
max_temp_error_so_far,1606,0.04179679367062253
max_temp_so_far,1606,0.04179679367062253
max_temp_so_far_source_time,1606,0.04179679367062253
mean_temp_error_so_far,1606,0.04179679367062253
mean_temp_so_far,1606,0.04179679367062253
min_temp_so_far,1606,0.04179679367062253
minutes_since_max_temp_so_far,1606,0.04179679367062253
nws_max_temp_so_far_f,1606,0.04179679367062253
nws_min_temp_so_far_f,1606,0.04179679367062253
temp_range_so_far,1606,0.04179679367062253
near_boundary_duration_so_far,1593,0.04145846346033729
num_new_highs_last_3h,1593,0.04145846346033729
cloud_cover_now,284,0.0073912138246929006
nws_cloud_cover_pct,284,0.0073912138246929006
temp_change_60m_minus_3h_avg_rate,187,0.004866749947949198
temp_acceleration_60m,179,0.004658546741619821
temp_change_300m,130,0.003383302102852384
temp_change_240m,128,0.0033312513012700396
nws_temp_change_180m,125,0.003253175098896523
temp_change_180m,125,0.003253175098896523
nws_temp_change_120m,121,0.003149073495731834
temp_change_120m,121,0.003149073495731834
nws_temp_change_60m,117,0.0030449718925671457
temp_change_60m,117,0.0030449718925671457
dew_point,58,0.0015094732458879867
nws_dew_point_f,58,0.0015094732458879867
nws_relative_humidity,58,0.0015094732458879867
temp_minus_dew_point,58,0.0015094732458879867
current_temp,36,0.0009369144284821987
current_temp_minus_forecast_temp,36,0.0009369144284821987
nws_current_temp_f,36,0.0009369144284821987
current_temp_source_time,4,0.00010410160316468874
nws_precip_1h,4,0.00010410160316468874
precipitation_now,4,0.00010410160316468874
actual_high,0,0.0
actual_source,0,0.0
date,0,0.0
day_of_year_cos,0,0.0
day_of_year_sin,0,0.0
forecast_error,0,0.0
forecast_high,0,0.0
forecast_horizon_hours,0,0.0
forecast_issue_time,0,0.0
forecast_max_so_far,0,0.0
forecast_source,0,0.0
forecast_source_issue_time,0,0.0
forecast_temp_current_hour,0,0.0
forecast_temp_source_issue_time,0,0.0
hour_cos,0,0.0
hour_sin,0,0.0
location,0,0.0
minutes_until_typical_peak,0,0.0
month,0,0.0
ndfd_grid_distance_km,0,0.0
ndfd_lead_hours,0,0.0
ndfd_valid_time_utc,0,0.0
nws_forecast_high_f,0,0.0
observed_temperature_source,0,0.0
official_daily_high_f,0,0.0
prediction_clock_time,0,0.0
prediction_time,0,0.0
prediction_timestamp,0,0.0
recent_forecast_revision,0,0.0
season,0,0.0
source_file,0,0.0
source_station,0,0.0
source_station_name,0,0.0
target_date,0,0.0
