run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma,nll_rank,brier_rank,log_loss_rank,rank_sum
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.6,validation,2.5506047622448937,1.4107724138498758,0.1393727865555646,1.04364796257566,1.0615957393136433,340.0,314.0,322.0,976.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.6,test,2.264892821631871,1.3332012128882307,0.12909257228213472,1.1005180227684563,1.096225718489174,340.0,314.0,322.0,976.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.65,validation,2.3740572767045305,1.3424933512717963,0.13618821454453114,1.1306186261236317,1.1500620509231134,322.0,296.0,305.0,923.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.65,test,2.1353326828125474,1.2733452753314867,0.1268036910380779,1.1922278579991612,1.187577861696605,322.0,296.0,305.0,923.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.7,validation,2.244568785344857,1.2910986672285334,0.13358585586872396,1.2175892896716034,1.2385283625325838,306.0,278.0,287.0,871.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.7,test,2.043127212687853,1.2293744338754902,0.1249960613346535,1.2839376932298656,1.2789300049040362,306.0,278.0,287.0,871.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.75,validation,2.1493104193537587,1.2527000808435222,0.13146943945739173,1.3045599532195753,1.3269946741420542,286.0,258.0,267.0,811.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.75,test,1.977946885721056,1.1973293589975476,0.12358630308580243,1.3756475284605703,1.3702821481114675,286.0,258.0,267.0,811.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.8,validation,2.0794213382665676,1.2243140462124402,0.12976475722584427,1.391530616767547,1.4154609857515243,266.0,243.0,247.0,756.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.8,test,1.932674475581018,1.1743942776741478,0.12251217711853793,1.4673573636912751,1.4616342913188984,266.0,243.0,247.0,756.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.85,validation,2.0286356524014697,1.2037155465023361,0.12841339487927483,1.4785012803155184,1.5039272973609945,244.0,226.0,229.0,699.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.85,test,1.9022904843004274,1.1585201886683543,0.12172589615292213,1.5590671989219798,1.5529864345263298,244.0,226.0,229.0,699.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.9,validation,1.9924311447275262,1.1892499694432335,0.1273682038554456,1.56547194386349,1.592393608970465,220.0,208.0,206.0,634.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.9,test,1.8831827951335158,1.1481865686012553,0.12118948855243299,1.6507770341526848,1.644338577733761,220.0,208.0,206.0,634.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.95,validation,1.96748532921521,1.1796657226691982,0.1265901747278084,1.6524426074114618,1.680859920579935,187.0,192.0,180.0,559.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,0.95,test,1.8727060164471352,1.1422457711551504,0.12087173250955699,1.7424868693833893,1.735690720941192,187.0,192.0,180.0,559.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.0,validation,1.9513185740902712,1.1740018950433995,0.12604632235379487,1.7394132709594334,1.7693262321894054,154.0,174.0,161.0,489.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.0,test,1.8688926903311511,1.1398186131813663,0.12074618289128503,1.8341967046140941,1.8270428641486232,154.0,174.0,161.0,489.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.05,validation,1.9420544215648756,1.1715110270140663,0.12570826152282427,1.826383934507405,1.8577925437988758,128.0,159.0,150.0,437.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.05,test,1.8702595688402066,1.1402226443495012,0.12078991709954376,1.9259065398447985,1.9183950073560543,128.0,159.0,150.0,437.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.1,validation,1.9382552350655695,1.171604890518757,0.12555123944957386,1.913354598055377,1.9462588554083462,119.0,154.0,151.0,424.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.1,test,1.8756749426005543,1.1429218542628377,0.12098273726934108,2.017616375075504,2.0097471505634856,119.0,154.0,151.0,424.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.15,validation,1.9388073815835976,1.1738157149357757,0.1255534656451053,2.000325261603349,2.034725167017816,121.0,155.0,160.0,436.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.15,test,1.8842660810011524,1.1474907737706233,0.12130665507905772,2.109326210306208,2.1010992937709165,121.0,155.0,160.0,436.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.2,validation,1.9428396632103706,1.1777680045256114,0.12569563421199637,2.08729592515132,2.1231914786272865,133.0,158.0,175.0,466.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.2,test,1.8953535704730144,1.1535884414645168,0.12174554870094392,2.2010360455369127,2.192451436978348,133.0,158.0,175.0,466.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.25,validation,1.949664483490557,1.1831577566059974,0.12596057094806767,2.174266588699292,2.2116577902367567,150.0,169.0,191.0,510.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.25,test,1.9084040262443518,1.1609392543686452,0.12228492350050732,2.2927458807676175,2.283803580185779,150.0,169.0,191.0,510.0
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,1.3,validation,1.9587348225804326,1.189736937889934,0.12633296221705867,2.2612372522472635,2.300124101846227,169.0,187.0,207.0,563.0
