run_id,status,feature_set,feature_count,distribution,hyperparams_name,n_estimators,learning_rate,max_depth,min_samples_leaf,minibatch_frac,natural_gradient,random_state,early_stopping_rounds,elapsed_seconds,error_message
current36__normal__fast_120_lr005_depth2_leaf50_sub1_direct,success,current36,36,normal,fast_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,11.727717099999609,
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,success,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,300,0.02,3,50,0.8,False,42,10,33.25179769999977,
current36__normal__prod_500_lr001_depth3_leaf50_sub08_direct,success,current36,36,normal,prod_500_lr001_depth3_leaf50_sub08_direct,500,0.01,3,50,0.8,False,42,5,52.63678429999982,
current36__laplace__fast_120_lr005_depth2_leaf50_sub1_direct,success,current36,36,laplace,fast_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,11.782804100000249,
current36__laplace__mid_300_lr002_depth3_leaf50_sub08_direct,success,current36,36,laplace,mid_300_lr002_depth3_leaf50_sub08_direct,300,0.02,3,50,0.8,False,42,10,33.03229850000025,
current36__laplace__prod_500_lr001_depth3_leaf50_sub08_direct,success,current36,36,laplace,prod_500_lr001_depth3_leaf50_sub08_direct,500,0.01,3,50,0.8,False,42,5,53.284547100000054,
current36__skew_normal__fast_120_lr005_depth2_leaf50_sub1_direct,success,current36,36,skew_normal,fast_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,17.792861499999162,
current36__skew_normal__mid_300_lr002_depth3_leaf50_sub08_direct,success,current36,36,skew_normal,mid_300_lr002_depth3_leaf50_sub08_direct,300,0.02,3,50,0.8,False,42,10,49.43956030000027,
current36__skew_normal__prod_500_lr001_depth3_leaf50_sub08_direct,success,current36,36,skew_normal,prod_500_lr001_depth3_leaf50_sub08_direct,500,0.01,3,50,0.8,False,42,5,81.64694159999999,
plus_forecast_high_day_cos__skew_normal__fast_120_lr005_depth2_leaf50_sub1_direct,success,plus_forecast_high_day_cos,38,skew_normal,fast_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,19.856627999999546,
plus_forecast_high_temp_range__skew_normal__fast_120_lr005_depth2_leaf50_sub1_direct,success,plus_forecast_high_temp_range,38,skew_normal,fast_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,19.22512270000061,
plus_ndfd_metadata__skew_normal__fast_120_lr005_depth2_leaf50_sub1_direct,success,plus_ndfd_metadata,38,skew_normal,fast_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,19.131612600000153,
curated_weather_plus__skew_normal__fast_120_lr005_depth2_leaf50_sub1_direct,success,curated_weather_plus,46,skew_normal,fast_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,22.149782599999526,
plus_forecast_high_day_cos__skew_normal__mid_300_lr002_depth3_leaf50_sub08_direct,success,plus_forecast_high_day_cos,38,skew_normal,mid_300_lr002_depth3_leaf50_sub08_direct,300,0.02,3,50,0.8,False,42,10,52.59331889999976,
plus_forecast_high_temp_range__skew_normal__mid_300_lr002_depth3_leaf50_sub08_direct,success,plus_forecast_high_temp_range,38,skew_normal,mid_300_lr002_depth3_leaf50_sub08_direct,300,0.02,3,50,0.8,False,42,10,52.507547799999884,
plus_ndfd_metadata__skew_normal__mid_300_lr002_depth3_leaf50_sub08_direct,success,plus_ndfd_metadata,38,skew_normal,mid_300_lr002_depth3_leaf50_sub08_direct,300,0.02,3,50,0.8,False,42,10,50.21853120000014,
curated_weather_plus__skew_normal__mid_300_lr002_depth3_leaf50_sub08_direct,success,curated_weather_plus,46,skew_normal,mid_300_lr002_depth3_leaf50_sub08_direct,300,0.02,3,50,0.8,False,42,10,60.029146999999284,
plus_forecast_high_day_cos__skew_normal__prod_500_lr001_depth3_leaf50_sub08_direct,success,plus_forecast_high_day_cos,38,skew_normal,prod_500_lr001_depth3_leaf50_sub08_direct,500,0.01,3,50,0.8,False,42,5,85.91966299999967,
plus_forecast_high_temp_range__skew_normal__prod_500_lr001_depth3_leaf50_sub08_direct,success,plus_forecast_high_temp_range,38,skew_normal,prod_500_lr001_depth3_leaf50_sub08_direct,500,0.01,3,50,0.8,False,42,5,87.91983869999967,
plus_ndfd_metadata__skew_normal__prod_500_lr001_depth3_leaf50_sub08_direct,success,plus_ndfd_metadata,38,skew_normal,prod_500_lr001_depth3_leaf50_sub08_direct,500,0.01,3,50,0.8,False,42,5,83.36028540000007,
curated_weather_plus__skew_normal__prod_500_lr001_depth3_leaf50_sub08_direct,success,curated_weather_plus,46,skew_normal,prod_500_lr001_depth3_leaf50_sub08_direct,500,0.01,3,50,0.8,False,42,5,100.07132580000052,
