generated_at,client_order_id,row_id,event_ticker,ticker,outcome_side,action,intent_status,intent_reason,contracts,limit_price_dollars,v2_price_dollars,legacy_yes_price_dollars,legacy_no_price_dollars,estimated_fee_dollars,estimated_cost_dollars,net_edge,time_in_force,post_only,reduce_only,cancel_order_on_pause,legacy_side,legacy_action,v2_side,source_evaluated_at
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-B86.5,NO,BUY_NO,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_spread,0,,,,,0.0,0.0,0.09185296413600155,fill_or_kill,False,False,True,no,buy,ask,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-B84.5,YES,BUY_YES,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_spread,0,,,,,0.0,0.0,0.091852931054853,fill_or_kill,False,False,True,yes,buy,bid,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-B88.5,YES,BUY_YES,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_spread;gross_edge_nonpositive;edge_below_minimum,0,,,,,0.0,0.0,-0.02499996863211649,fill_or_kill,False,False,True,yes,buy,bid,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-B82.5,YES,BUY_YES,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_spread;gross_edge_nonpositive;edge_below_minimum,0,,,,,0.0,0.0,-0.024999998286735402,fill_or_kill,False,False,True,yes,buy,bid,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-T89,YES,BUY_YES,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_spread;gross_edge_nonpositive;edge_below_minimum,0,,,,,0.0,0.0,-0.024999999999999557,fill_or_kill,False,False,True,yes,buy,bid,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-T82,YES,BUY_YES,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_spread;gross_edge_nonpositive;edge_below_minimum,0,,,,,0.0,0.0,-0.024999999999999977,fill_or_kill,False,False,True,yes,buy,bid,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-T82,NO,BUY_NO,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_executable_price;missing_executable_size;missing_spread;missing_gross_edge;missing_net_edge;invalid_executable_price;missing_executable_size;proposed_size_zero,0,,,,,0.0,0.0,,fill_or_kill,False,False,True,no,buy,ask,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-B82.5,NO,BUY_NO,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_executable_price;missing_executable_size;missing_spread;missing_gross_edge;missing_net_edge;invalid_executable_price;missing_executable_size;proposed_size_zero,0,,,,,0.0,0.0,,fill_or_kill,False,False,True,no,buy,ask,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-B84.5,NO,BUY_NO,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_executable_price;missing_executable_size;missing_spread;missing_gross_edge;missing_net_edge;invalid_executable_price;missing_executable_size;proposed_size_zero,0,,,,,0.0,0.0,,fill_or_kill,False,False,True,no,buy,ask,2026-06-04T23:29:25.041087+00:00
2026-06-04T23:29:25.041087+00:00,,live:KXHIGHNY-26JUN04:2026-06-04T19:29:25.041094,KXHIGHNY-26JUN04,KXHIGHNY-26JUN04-B86.5,YES,BUY_YES,BLOCKED,edge:probability_signal:unverified_observed_high_window;missing_executable_price;missing_executable_size;missing_spread;missing_gross_edge;missing_net_edge;invalid_executable_price;missing_executable_size;proposed_size_zero,0,,,,,0.0,0.0,,fill_or_kill,False,False,True,yes,buy,bid,2026-06-04T23:29:25.041087+00:00
