run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma,validation_nll_rank,validation_bucket_log_loss_rank,validation_bucket_brier_rank,validation_rank_sum,test_nll_rank,test_bucket_log_loss_rank,test_bucket_brier_rank,test_rank_sum
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.7,validation,1.4704242658887925,1.0195759316196644,0.4787220765915316,0.7758850279277254,0.9412135745270422,127.0,128.0,89.0,344.0,,,,
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.7,test,2.0558117269219087,1.2377581604165842,0.5566272213705357,0.7865933706221284,0.9378563927037052,,,,,128.0,128.0,112.0,368.0
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.8,validation,1.355447159322619,0.9517102900162736,0.4704781547743104,0.8867257462031148,1.075672656602334,116.0,107.0,11.0,234.0,,,,
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.8,test,1.814183029456061,1.129367449939404,0.5392116370537462,0.8989638521395754,1.071835877375663,,,,,121.0,117.0,89.0,327.0
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.9,validation,1.302853586068838,0.915063549217783,0.4669006446515071,0.9975664644785044,1.2101317386776258,86.0,56.0,4.0,146.0,,,,
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.9,test,1.6747575424414334,1.062134278083208,0.5270277796066792,1.0113343336570224,1.205815362047621,,,,,112.0,89.0,58.0,259.0
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.0,validation,1.2863447155885703,0.8981449664108205,0.4667550396891861,1.1084071827538933,1.3445908207529176,79.0,5.0,3.0,87.0,,,,
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.0,test,1.5961383148239956,1.0213375636490547,0.5189604707908794,1.1237048151744693,1.3397948467195788,,,,,99.0,60.0,22.0,181.0
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.1,validation,1.2914853321824131,0.8941628230524212,0.4691173475863806,1.2192479010292827,1.4790499028282094,82.0,2.0,8.0,92.0,,,,
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.1,test,1.5553242913611498,0.9981009560967812,0.5141067299836716,1.2360752966919162,1.4737743313915368,,,,,81.0,16.0,7.0,104.0
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.2,validation,1.3099153614921129,0.8988802175023667,0.4733111140754404,1.330088619304672,1.6135089849035011,92.0,6.0,44.0,142.0,,,,
