run_id,status,feature_set,feature_count,distribution,hyperparams_name,n_estimators,learning_rate,max_depth,min_samples_leaf,minibatch_frac,natural_gradient,random_state,early_stopping_rounds,elapsed_seconds,error_message
current36__normal__standard_120_lr005_leaf50,success,current36,36,normal,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,21.39462000000003,
current36__laplace__standard_120_lr005_leaf50,success,current36,36,laplace,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,17.130349500000193,
full_safe39__normal__standard_120_lr005_leaf50,success,full_safe39,39,normal,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,18.33983569999964,
full_safe39__laplace__standard_120_lr005_leaf50,success,full_safe39,39,laplace,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,20.924322300000313,
current36_plus_forecast_high__normal__standard_120_lr005_leaf50,success,current36_plus_forecast_high,37,normal,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,18.433605199999874,
current36_plus_forecast_high__laplace__standard_120_lr005_leaf50,success,current36_plus_forecast_high,37,laplace,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,17.43293679999988,
current36_plus_day_of_year_cos__normal__standard_120_lr005_leaf50,success,current36_plus_day_of_year_cos,37,normal,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,17.51721710000129,
current36_plus_day_of_year_cos__laplace__standard_120_lr005_leaf50,success,current36_plus_day_of_year_cos,37,laplace,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,17.289662500001214,
current36_plus_temp_range_so_far__normal__standard_120_lr005_leaf50,success,current36_plus_temp_range_so_far,37,normal,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,18.75345969999944,
current36_plus_temp_range_so_far__laplace__standard_120_lr005_leaf50,success,current36_plus_temp_range_so_far,37,laplace,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,17.235786400000507,
current36_plus_forecast_high_day_cos__normal__standard_120_lr005_leaf50,success,current36_plus_forecast_high_day_cos,38,normal,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,17.25411460000032,
current36_plus_forecast_high_day_cos__laplace__standard_120_lr005_leaf50,success,current36_plus_forecast_high_day_cos,38,laplace,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,17.537570000000414,
current36_plus_forecast_high_temp_range__normal__standard_120_lr005_leaf50,success,current36_plus_forecast_high_temp_range,38,normal,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,16.96790140000121,
current36_plus_forecast_high_temp_range__laplace__standard_120_lr005_leaf50,success,current36_plus_forecast_high_temp_range,38,laplace,standard_120_lr005_leaf50,120,0.05,2,50,1.0,True,11,20,17.157530399999814,
current36_plus_forecast_high_temp_range__laplace__standard_120_lr005_leaf20,success,current36_plus_forecast_high_temp_range,38,laplace,standard_120_lr005_leaf20,120,0.05,2,20,1.0,True,11,20,16.824735100000908,
current36_plus_forecast_high_temp_range__laplace__medium_300_lr003_leaf50,success,current36_plus_forecast_high_temp_range,38,laplace,medium_300_lr003_leaf50,300,0.03,2,50,1.0,True,11,20,38.789612399999896,
