split,method,bucket,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
validation,raw_ngboost,market_bucket_0,0.0-0.1,0.022858418415736492,0.005988023952095809,4509,-0.016870394463640685,0.0,0.1
validation,raw_ngboost,market_bucket_0,0.1-0.2,0.13939325410031295,0.06264591439688716,2570,-0.07674733970342579,0.1,0.2
validation,raw_ngboost,market_bucket_0,0.2-0.3,0.2379540784589779,0.1199616122840691,1042,-0.1179924661749088,0.2,0.30000000000000004
validation,raw_ngboost,market_bucket_0,0.3-0.4,0.3400081693279527,0.4128787878787879,264,0.07287061855083521,0.30000000000000004,0.4
validation,raw_ngboost,market_bucket_0,0.4-0.5,0.4414090477245833,0.5982532751091703,229,0.15684422738458698,0.4,0.5
validation,raw_ngboost,market_bucket_0,0.5-0.6,0.5305448808543468,0.93,100,0.39945511914565324,0.5,0.6000000000000001
validation,raw_ngboost,market_bucket_0,0.6-0.7,0.6353479952282047,0.9636363636363636,55,0.3282883684081589,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,market_bucket_0,0.7-0.8,0.7480336761411831,1.0,15,0.2519663238588169,0.7000000000000001,0.8
validation,raw_ngboost,market_bucket_0,0.8-0.9,,,0,,0.8,0.9
validation,raw_ngboost,market_bucket_0,0.9-1.0,,,0,,0.9,1.0
validation,raw_ngboost,market_bucket_1,0.0-0.1,0.01552221237505969,0.0004310344827586207,2320,-0.01509117789230107,0.0,0.1
validation,raw_ngboost,market_bucket_1,0.1-0.2,0.17135568892451214,0.1183206106870229,1048,-0.053035078237489236,0.1,0.2
validation,raw_ngboost,market_bucket_1,0.2-0.3,0.24595880797228484,0.2322198275862069,1856,-0.013738980386077931,0.2,0.30000000000000004
validation,raw_ngboost,market_bucket_1,0.3-0.4,0.35384255643636076,0.2861878453038674,1810,-0.06765471113249333,0.30000000000000004,0.4
validation,raw_ngboost,market_bucket_1,0.4-0.5,0.4348927299592362,0.3871763255240444,811,-0.04771640443519182,0.4,0.5
validation,raw_ngboost,market_bucket_1,0.5-0.6,0.5403149804259394,0.5504587155963303,109,0.01014373517039091,0.5,0.6000000000000001
validation,raw_ngboost,market_bucket_1,0.6-0.7,0.6444778619363759,0.6,60,-0.04447786193637593,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,market_bucket_1,0.7-0.8,0.7519962799613041,0.8495575221238938,113,0.09756124216258966,0.7000000000000001,0.8
validation,raw_ngboost,market_bucket_1,0.8-0.9,0.8583518395539451,0.9832402234636871,179,0.124888383909742,0.8,0.9
validation,raw_ngboost,market_bucket_1,0.9-1.0,0.9663127668552052,0.99581589958159,478,0.02950313272638483,0.9,1.0
validation,raw_ngboost,market_bucket_2,0.0-0.1,0.02972922619362775,0.0027359781121751026,1462,-0.026993248081452648,0.0,0.1
validation,raw_ngboost,market_bucket_2,0.1-0.2,0.14981142208148793,0.17380352644836272,794,0.023992104366874795,0.1,0.2
validation,raw_ngboost,market_bucket_2,0.2-0.3,0.25146871888655425,0.31037151702786375,1292,0.0589027981413095,0.2,0.30000000000000004
validation,raw_ngboost,market_bucket_2,0.3-0.4,0.35851769973362346,0.3997613365155131,1676,0.04124363678188964,0.30000000000000004,0.4
validation,raw_ngboost,market_bucket_2,0.4-0.5,0.43405132134020846,0.4990769230769231,1625,0.06502560173671462,0.4,0.5
validation,raw_ngboost,market_bucket_2,0.5-0.6,0.5510933657326549,0.4765840220385675,363,-0.0745093436940874,0.5,0.6000000000000001
validation,raw_ngboost,market_bucket_2,0.6-0.7,0.6489095763811179,0.7902439024390244,205,0.14133432605790652,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,market_bucket_2,0.7-0.8,0.7503825341733367,0.7814569536423841,151,0.031074419469047432,0.7000000000000001,0.8
validation,raw_ngboost,market_bucket_2,0.8-0.9,0.8549644828413444,0.9086294416243654,197,0.05366495878302102,0.8,0.9
validation,raw_ngboost,market_bucket_2,0.9-1.0,0.9770702925700753,0.9970559371933267,1019,0.019985644623251475,0.9,1.0
validation,raw_ngboost,market_bucket_3,0.0-0.1,0.0355004266772177,0.03120533587422582,4198,-0.004295090802991879,0.0,0.1
validation,raw_ngboost,market_bucket_3,0.1-0.2,0.14554904663164658,0.16378205128205128,3120,0.0182330046504047,0.1,0.2
validation,raw_ngboost,market_bucket_3,0.2-0.3,0.22808843766073375,0.3568904593639576,566,0.12880202170322383,0.2,0.30000000000000004
validation,raw_ngboost,market_bucket_3,0.3-0.4,0.3415442720058912,0.4913294797687861,173,0.1497852077628949,0.30000000000000004,0.4
validation,raw_ngboost,market_bucket_3,0.4-0.5,0.4499425563213274,0.7248322147651006,149,0.2748896584437732,0.4,0.5
validation,raw_ngboost,market_bucket_3,0.5-0.6,0.5380998619193661,0.7692307692307693,78,0.23113090731140318,0.5,0.6000000000000001
validation,raw_ngboost,market_bucket_3,0.6-0.7,0.6527290111656567,0.9672131147540983,61,0.3144841035884416,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,market_bucket_3,0.7-0.8,0.7552998373587271,0.9375,96,0.18220016264127292,0.7000000000000001,0.8
validation,raw_ngboost,market_bucket_3,0.8-0.9,0.8527874502151606,0.9655172413793104,116,0.11272979116414983,0.8,0.9
validation,raw_ngboost,market_bucket_3,0.9-1.0,0.9416835295939183,0.9955947136563876,227,0.05391118406246931,0.9,1.0
validation,raw_ngboost,market_bucket_4,0.0-0.1,0.02662840986042549,0.02649086730373775,8267,-0.0001375425566877385,0.0,0.1
validation,raw_ngboost,market_bucket_4,0.1-0.2,0.1406141026905454,0.21481481481481482,135,0.07420071212426943,0.1,0.2
validation,raw_ngboost,market_bucket_4,0.2-0.3,0.25023309753812123,0.12359550561797752,89,-0.1266375919201437,0.2,0.30000000000000004
validation,raw_ngboost,market_bucket_4,0.3-0.4,0.3349021334745687,0.19230769230769232,52,-0.1425944411668764,0.30000000000000004,0.4
validation,raw_ngboost,market_bucket_4,0.4-0.5,0.4590614162084559,0.3404255319148936,47,-0.11863588429356231,0.4,0.5
validation,raw_ngboost,market_bucket_4,0.5-0.6,0.534726151230849,0.19047619047619047,42,-0.3442499607546585,0.5,0.6000000000000001
validation,raw_ngboost,market_bucket_4,0.6-0.7,0.648259074150165,0.6976744186046512,43,0.04941534445448614,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,market_bucket_4,0.7-0.8,0.7482093916561864,1.0,48,0.2517906083438136,0.7000000000000001,0.8
validation,raw_ngboost,market_bucket_4,0.8-0.9,0.867191740815556,1.0,48,0.13280825918444406,0.8,0.9
validation,raw_ngboost,market_bucket_4,0.9-1.0,0.9244499590626984,1.0,13,0.07555004093730155,0.9,1.0
validation,raw_ngboost,market_bucket_5,0.0-0.1,0.013248388360675897,0.008582695430294595,8622,-0.004665692930381302,0.0,0.1
validation,raw_ngboost,market_bucket_5,0.1-0.2,0.15213722554604647,0.08641975308641975,81,-0.06571747245962672,0.1,0.2
validation,raw_ngboost,market_bucket_5,0.2-0.3,0.2568818454700934,0.5454545454545454,33,0.288572699984452,0.2,0.30000000000000004
