split,method,threshold,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
validation,raw_ngboost,-5.0,0.0-0.1,0.009076017908296659,0.006882071620202963,8573,-0.002193946288093696,0.0,0.1
validation,raw_ngboost,-5.0,0.1-0.2,0.13647195069241616,0.18787878787878787,165,0.05140683718637171,0.1,0.2
validation,raw_ngboost,-5.0,0.2-0.3,0.25498608837629094,0.6060606060606061,33,0.35107451768431513,0.2,0.30000000000000004
validation,raw_ngboost,-5.0,0.3-0.4,0.3444693341527223,0.7692307692307693,13,0.424761435078047,0.30000000000000004,0.4
validation,raw_ngboost,-5.0,0.4-0.5,,,0,,0.4,0.5
validation,raw_ngboost,-5.0,0.5-0.6,,,0,,0.5,0.6000000000000001
validation,raw_ngboost,-5.0,0.6-0.7,,,0,,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,-5.0,0.7-0.8,,,0,,0.7000000000000001,0.8
validation,raw_ngboost,-5.0,0.8-0.9,,,0,,0.8,0.9
validation,raw_ngboost,-5.0,0.9-1.0,,,0,,0.9,1.0
validation,raw_ngboost,-3.0,0.0-0.1,0.021980486866333204,0.02087353095948079,5701,-0.0011069559068524124,0.0,0.1
validation,raw_ngboost,-3.0,0.1-0.2,0.1448161071232995,0.15367146101438303,1321,0.008855353891083523,0.1,0.2
validation,raw_ngboost,-3.0,0.2-0.3,0.24784748905539145,0.1451851851851852,675,-0.10266230387020625,0.2,0.30000000000000004
validation,raw_ngboost,-3.0,0.3-0.4,0.3461653006767145,0.38085106382978723,470,0.0346857631530727,0.30000000000000004,0.4
validation,raw_ngboost,-3.0,0.4-0.5,0.4441566571524781,0.5549738219895288,191,0.11081716483705073,0.4,0.5
validation,raw_ngboost,-3.0,0.5-0.6,0.5510222438251855,0.8449612403100775,129,0.29393899648489197,0.5,0.6000000000000001
validation,raw_ngboost,-3.0,0.6-0.7,0.6510871230982622,0.9568965517241379,116,0.3058094286258757,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,-3.0,0.7-0.8,0.7449606092342963,0.978494623655914,93,0.2335340144216177,0.7000000000000001,0.8
validation,raw_ngboost,-3.0,0.8-0.9,0.8501299217564771,1.0,75,0.14987007824352294,0.8,0.9
validation,raw_ngboost,-3.0,0.9-1.0,0.9188287594613753,1.0,13,0.08117124053862468,0.9,1.0
validation,raw_ngboost,-2.0,0.0-0.1,0.01523493051013204,0.01746987951807229,3320,0.002234949007940251,0.0,0.1
validation,raw_ngboost,-2.0,0.1-0.2,0.15116504674642028,0.14562410329985653,1394,-0.005540943446563751,0.1,0.2
validation,raw_ngboost,-2.0,0.2-0.3,0.248726129728645,0.22854188210961737,967,-0.020184247619027623,0.2,0.30000000000000004
validation,raw_ngboost,-2.0,0.3-0.4,0.345939253854215,0.31038798498122655,799,-0.03555126887298843,0.30000000000000004,0.4
validation,raw_ngboost,-2.0,0.4-0.5,0.44807108321591615,0.3768545994065282,674,-0.07121648380938794,0.4,0.5
validation,raw_ngboost,-2.0,0.5-0.6,0.5472135733752517,0.5134575569358178,483,-0.03375601643943382,0.5,0.6000000000000001
validation,raw_ngboost,-2.0,0.6-0.7,0.6483898385380318,0.6103896103896104,308,-0.03800022814842141,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,-2.0,0.7-0.8,0.7458037194213064,0.827433628318584,226,0.08162990889727761,0.7000000000000001,0.8
validation,raw_ngboost,-2.0,0.8-0.9,0.8485250536088192,0.953125,192,0.10459994639118075,0.8,0.9
validation,raw_ngboost,-2.0,0.9-1.0,0.9697249017040146,0.9928741092636579,421,0.023149207559643337,0.9,1.0
validation,raw_ngboost,-1.0,0.0-0.1,0.010732581040223252,0.0027056277056277055,1848,-0.008026953334595546,0.0,0.1
validation,raw_ngboost,-1.0,0.1-0.2,0.15696137847422648,0.19451371571072318,401,0.0375523372364967,0.1,0.2
validation,raw_ngboost,-1.0,0.2-0.3,0.2522120766516969,0.2455470737913486,786,-0.0066650028603483236,0.2,0.30000000000000004
validation,raw_ngboost,-1.0,0.3-0.4,0.34852787175595146,0.37927232635060637,907,0.030744454594654913,0.30000000000000004,0.4
validation,raw_ngboost,-1.0,0.4-0.5,0.4505874043039044,0.48574686431014824,877,0.035159460006243815,0.4,0.5
validation,raw_ngboost,-1.0,0.5-0.6,0.550359661319242,0.47406513872135103,829,-0.07629452259789093,0.5,0.6000000000000001
validation,raw_ngboost,-1.0,0.6-0.7,0.6544246214226821,0.5863945578231292,735,-0.06803006359955288,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,-1.0,0.7-0.8,0.7467183255586567,0.6009771986970684,614,-0.14574112686158824,0.7000000000000001,0.8
validation,raw_ngboost,-1.0,0.8-0.9,0.8510119987101268,0.8787878787878788,495,0.027775880077752002,0.8,0.9
validation,raw_ngboost,-1.0,0.9-1.0,0.9827953197357066,0.9953560371517027,1292,0.012560717415996181,0.9,1.0
validation,raw_ngboost,0.0,0.0-0.1,0.01372264978809328,0.0010309278350515464,970,-0.012691721953041734,0.0,0.1
