split,group_col,group_value,nominal_coverage,empirical_coverage,coverage_gap,n_rows,mean_predicted_sigma,mean_abs_residual,enough_sample
validation,prediction_hour,0,0.5,0.5327868852459017,0.032786885245901676,366,1.8444604869775645,1.537157204342916,True
validation,prediction_hour,0,0.8,0.8770491803278688,0.07704918032786878,366,1.8444604869775645,1.537157204342916,True
validation,prediction_hour,0,0.9,0.9508196721311475,0.050819672131147464,366,1.8444604869775645,1.537157204342916,True
validation,prediction_hour,1,0.5,0.5382513661202186,0.03825136612021862,366,1.8415444715278937,1.534811823720359,True
validation,prediction_hour,1,0.8,0.8825136612021858,0.08251366120218573,366,1.8415444715278937,1.534811823720359,True
validation,prediction_hour,1,0.9,0.9562841530054644,0.05628415300546441,366,1.8415444715278937,1.534811823720359,True
validation,prediction_hour,2,0.5,0.5382513661202186,0.03825136612021862,366,1.82955424814543,1.5302983358864999,True
validation,prediction_hour,2,0.8,0.8852459016393442,0.0852459016393442,366,1.82955424814543,1.5302983358864999,True
validation,prediction_hour,2,0.9,0.9590163934426229,0.05901639344262288,366,1.82955424814543,1.5302983358864999,True
validation,prediction_hour,3,0.5,0.5409836065573771,0.040983606557377095,366,1.823009306345924,1.5358755227427383,True
validation,prediction_hour,3,0.8,0.8825136612021858,0.08251366120218573,366,1.823009306345924,1.5358755227427383,True
validation,prediction_hour,3,0.9,0.953551912568306,0.05355191256830594,366,1.823009306345924,1.5358755227427383,True
validation,prediction_hour,4,0.5,0.5437158469945356,0.04371584699453557,366,1.8184199390870661,1.5366540688812143,True
validation,prediction_hour,4,0.8,0.8797814207650273,0.07978142076502726,366,1.8184199390870661,1.5366540688812143,True
validation,prediction_hour,4,0.9,0.9480874316939891,0.0480874316939891,366,1.8184199390870661,1.5366540688812143,True
validation,prediction_hour,5,0.5,0.5437158469945356,0.04371584699453557,366,1.818489634752614,1.5348673063114642,True
validation,prediction_hour,5,0.8,0.8797814207650273,0.07978142076502726,366,1.818489634752614,1.5348673063114642,True
validation,prediction_hour,5,0.9,0.9480874316939891,0.0480874316939891,366,1.818489634752614,1.5348673063114642,True
validation,prediction_hour,6,0.5,0.5327868852459017,0.032786885245901676,366,1.8163217048679294,1.5309870336663605,True
validation,prediction_hour,6,0.8,0.8770491803278688,0.07704918032786878,366,1.8163217048679294,1.5309870336663605,True
validation,prediction_hour,6,0.9,0.953551912568306,0.05355191256830594,366,1.8163217048679294,1.5309870336663605,True
validation,prediction_hour,7,0.5,0.5273224043715847,0.02732240437158473,366,1.817956345515866,1.5332785526295236,True
validation,prediction_hour,7,0.8,0.8797814207650273,0.07978142076502726,366,1.817956345515866,1.5332785526295236,True
validation,prediction_hour,7,0.9,0.9508196721311475,0.050819672131147464,366,1.817956345515866,1.5332785526295236,True
validation,prediction_hour,8,0.5,0.546448087431694,0.04644808743169404,366,1.8111711782135524,1.4952750484129722,True
validation,prediction_hour,8,0.8,0.8879781420765027,0.08797814207650267,366,1.8111711782135524,1.4952750484129722,True
validation,prediction_hour,8,0.9,0.953551912568306,0.05355191256830594,366,1.8111711782135524,1.4952750484129722,True
validation,prediction_hour,9,0.5,0.5300546448087432,0.030054644808743203,366,1.781289341009582,1.502240157199577,True
validation,prediction_hour,9,0.8,0.8743169398907104,0.07431693989071031,366,1.781289341009582,1.502240157199577,True
validation,prediction_hour,9,0.9,0.953551912568306,0.05355191256830594,366,1.781289341009582,1.502240157199577,True
validation,prediction_hour,10,0.5,0.5273224043715847,0.02732240437158473,366,1.7445349064457825,1.4335340808361687,True
validation,prediction_hour,10,0.8,0.8688524590163934,0.06885245901639336,366,1.7445349064457825,1.4335340808361687,True
validation,prediction_hour,10,0.9,0.9590163934426229,0.05901639344262288,366,1.7445349064457825,1.4335340808361687,True
validation,prediction_hour,11,0.5,0.5601092896174863,0.060109289617486295,366,1.6978186099509314,1.3200026737933286,True
validation,prediction_hour,11,0.8,0.8797814207650273,0.07978142076502726,366,1.6978186099509314,1.3200026737933286,True
validation,prediction_hour,11,0.9,0.9644808743169399,0.06448087431693983,366,1.6978186099509314,1.3200026737933286,True
validation,prediction_hour,12,0.5,0.6174863387978142,0.11748633879781423,366,1.654865553637032,1.137904435303574,True
