row_id,split,date,timestamp,prediction_time,prediction_timestamp,location,forecast_high,actual_high,forecast_horizon_hours,forecast_error,mu,sigma,nll,distribution_type,sigma_scale
0,validation,2024-01-01,2024-01-01 01:00:00,2024-01-01 01:00:00,2024-01-01 01:00:00,NYC,45.04998901367192,47.0,14.0,1.9500109863,0.7131632955661821,2.515730489718224,1.9623594193051985,normal,1.0
1,validation,2024-01-01,2024-01-01 02:00:00,2024-01-01 02:00:00,2024-01-01 02:00:00,NYC,45.04998901367192,47.0,13.0,1.9500109863,0.36791381802379813,2.4997531298897586,2.0354125811203976,normal,1.0
2,validation,2024-01-01,2024-01-01 03:00:00,2024-01-01 03:00:00,2024-01-01 03:00:00,NYC,45.04998901367192,47.0,12.0,1.9500109863,0.47619463601599304,2.510039587715464,2.0116205218321537,normal,1.0
3,validation,2024-01-01,2024-01-01 04:00:00,2024-01-01 04:00:00,2024-01-01 04:00:00,NYC,45.04998901367192,47.0,11.0,1.9500109863,0.49016522342549257,2.546665855635568,2.018024458832941,normal,1.0
4,validation,2024-01-01,2024-01-01 05:00:00,2024-01-01 05:00:00,2024-01-01 05:00:00,NYC,45.04998901367192,47.0,10.0,1.9500109863,0.8557770942472562,2.515970159022787,1.936172666349366,normal,1.0
5,validation,2024-01-01,2024-01-01 06:00:00,2024-01-01 06:00:00,2024-01-01 06:00:00,NYC,45.04998901367192,47.0,9.0,1.9500109863,0.7744187517122899,2.5629430616731703,1.9652922858259867,normal,1.0
6,validation,2024-01-01,2024-01-01 07:00:00,2024-01-01 07:00:00,2024-01-01 07:00:00,NYC,45.04998901367192,47.0,8.0,1.9500109863,0.4523571734463719,2.486679470023412,2.0112517154268406,normal,1.0
7,validation,2024-01-01,2024-01-01 08:00:00,2024-01-01 08:00:00,2024-01-01 08:00:00,NYC,45.04998901367192,47.0,7.0,1.9500109863,0.3014133142993854,2.480041179568049,2.048157378611319,normal,1.0
8,validation,2024-01-01,2024-01-01 09:00:00,2024-01-01 09:00:00,2024-01-01 09:00:00,NYC,45.04998901367192,47.0,6.0,1.9500109863,0.5998407018991558,2.437132784007827,1.9632185025342044,normal,1.0
9,validation,2024-01-01,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-01 10:00:00,NYC,45.04998901367192,47.0,5.0,1.9500109863,0.36703568013044313,2.3550247813749694,2.0013955524099,normal,1.0
10,validation,2024-01-01,2024-01-01 11:00:00,2024-01-01 11:00:00,2024-01-01 11:00:00,NYC,45.04998901367192,47.0,4.0,1.9500109863,1.1231256817372965,2.324665857530194,1.8257763435762708,normal,1.0
11,validation,2024-01-01,2024-01-01 12:00:00,2024-01-01 12:00:00,2024-01-01 12:00:00,NYC,45.04998901367192,47.0,3.0,1.9500109863,1.8669720198360107,1.580037743273536,1.3777682848748256,normal,1.0
12,validation,2024-01-01,2024-01-01 13:00:00,2024-01-01 13:00:00,2024-01-01 13:00:00,NYC,45.04998901367192,47.0,2.0,1.9500109863,2.3660399713278,1.3456880098311481,1.263632999141455,normal,1.0
13,validation,2024-01-01,2024-01-01 14:00:00,2024-01-01 14:00:00,2024-01-01 14:00:00,NYC,45.04998901367192,47.0,1.0,1.9500109863,1.8427051924035154,0.9033317908470836,0.8243285738016342,normal,1.0
14,validation,2024-01-01,2024-01-01 15:00:00,2024-01-01 15:00:00,2024-01-01 15:00:00,NYC,45.04998901367192,47.0,0.0,1.9500109863,1.7098924579625205,0.8570601546828454,0.8039376644249523,normal,1.0
15,validation,2024-01-01,2024-01-01 16:00:00,2024-01-01 16:00:00,2024-01-01 16:00:00,NYC,45.04998901367192,47.0,-1.0,1.9500109863,1.7098924579625205,0.8294937753546628,0.7738970329096883,normal,1.0
16,validation,2024-01-01,2024-01-01 17:00:00,2024-01-01 17:00:00,2024-01-01 17:00:00,NYC,45.04998901367192,47.0,-2.0,1.9500109863,1.5619105231460348,0.8019481761899242,0.8153296208376808,normal,1.0
17,validation,2024-01-01,2024-01-01 18:00:00,2024-01-01 18:00:00,2024-01-01 18:00:00,NYC,45.04998901367192,47.0,-3.0,1.9500109863,1.5763697366893614,0.749993923200847,0.755346176769186,normal,1.0
18,validation,2024-01-01,2024-01-01 19:00:00,2024-01-01 19:00:00,2024-01-01 19:00:00,NYC,45.04998901367192,47.0,-4.0,1.9500109863,1.5565764137330955,0.7491425528381991,0.768019480596069,normal,1.0
19,validation,2024-01-01,2024-01-01 20:00:00,2024-01-01 20:00:00,2024-01-01 20:00:00,NYC,45.04998901367192,47.0,-5.0,1.9500109863,1.5475151625403187,0.7412420758860173,0.7669360226748032,normal,1.0
20,validation,2024-01-01,2024-01-01 21:00:00,2024-01-01 21:00:00,2024-01-01 21:00:00,NYC,45.04998901367192,47.0,-6.0,1.9500109863,1.5555819343538182,0.735354761823245,0.755387667951423,normal,1.0
