row_id,split,date,timestamp,prediction_time,prediction_timestamp,location,forecast_high,actual_high,forecast_horizon_hours,forecast_error,mu,sigma,nll,distribution_type,sigma_scale
0,validation,2024-01-01,2024-01-01 01:00:00,2024-01-01 01:00:00,2024-01-01 01:00:00,NYC,45.04998901367192,47.0,14.0,1.9500109863,0.7128471531317329,2.5232753963501846,1.9646937666495798,normal,1.0
1,validation,2024-01-01,2024-01-01 02:00:00,2024-01-01 02:00:00,2024-01-01 02:00:00,NYC,45.04998901367192,47.0,13.0,1.9500109863,0.3803169583025819,2.5100779663563446,2.034787837869729,normal,1.0
2,validation,2024-01-01,2024-01-01 03:00:00,2024-01-01 03:00:00,2024-01-01 03:00:00,NYC,45.04998901367192,47.0,12.0,1.9500109863,0.49920851145307094,2.5210798895498456,2.0092079619233765,normal,1.0
3,validation,2024-01-01,2024-01-01 04:00:00,2024-01-01 04:00:00,2024-01-01 04:00:00,NYC,45.04998901367192,47.0,11.0,1.9500109863,0.4984294292688698,2.5474392535876267,2.0163745274504246,normal,1.0
4,validation,2024-01-01,2024-01-01 05:00:00,2024-01-01 05:00:00,2024-01-01 05:00:00,NYC,45.04998901367192,47.0,10.0,1.9500109863,0.8527773026239986,2.5370379865760677,1.9434579033776487,normal,1.0
5,validation,2024-01-01,2024-01-01 06:00:00,2024-01-01 06:00:00,2024-01-01 06:00:00,NYC,45.04998901367192,47.0,9.0,1.9500109863,0.7567850179747336,2.5636982841460862,1.9687026375619219,normal,1.0
6,validation,2024-01-01,2024-01-01 07:00:00,2024-01-01 07:00:00,2024-01-01 07:00:00,NYC,45.04998901367192,47.0,8.0,1.9500109863,0.4540583056416132,2.499860506329723,2.014223400384057,normal,1.0
7,validation,2024-01-01,2024-01-01 08:00:00,2024-01-01 08:00:00,2024-01-01 08:00:00,NYC,45.04998901367192,47.0,7.0,1.9500109863,0.27474286777391227,2.477605905217328,2.0548301981413695,normal,1.0
8,validation,2024-01-01,2024-01-01 09:00:00,2024-01-01 09:00:00,2024-01-01 09:00:00,NYC,45.04998901367192,47.0,6.0,1.9500109863,0.5808599032832169,2.4113788298337133,1.960328644927367,normal,1.0
9,validation,2024-01-01,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-01 10:00:00,NYC,45.04998901367192,47.0,5.0,1.9500109863,0.4048570230583935,2.350181430253363,1.9895589180498965,normal,1.0
10,validation,2024-01-01,2024-01-01 11:00:00,2024-01-01 11:00:00,2024-01-01 11:00:00,NYC,45.04998901367192,47.0,4.0,1.9500109863,1.2344715406951459,2.311277630619377,1.8046607707479057,normal,1.0
11,validation,2024-01-01,2024-01-01 12:00:00,2024-01-01 12:00:00,2024-01-01 12:00:00,NYC,45.04998901367192,47.0,3.0,1.9500109863,1.8441017358548368,1.577489795733108,1.3770271244643957,normal,1.0
12,validation,2024-01-01,2024-01-01 13:00:00,2024-01-01 13:00:00,2024-01-01 13:00:00,NYC,45.04998901367192,47.0,2.0,1.9500109863,2.3118872301045545,1.3105398860847244,1.227500940221851,normal,1.0
13,validation,2024-01-01,2024-01-01 14:00:00,2024-01-01 14:00:00,2024-01-01 14:00:00,NYC,45.04998901367192,47.0,1.0,1.9500109863,1.796452698320122,0.9044733382456447,0.8329481062313004,normal,1.0
