row_id,split,date,timestamp,prediction_time,prediction_timestamp,location,forecast_high,actual_high,forecast_horizon_hours,forecast_error,mu,sigma,nll,distribution_type,sigma_scale
0,validation,2024-01-01,2024-01-01 01:00:00,2024-01-01 01:00:00,2024-01-01 01:00:00,NYC,46.0,47.0,14.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
1,validation,2024-01-01,2024-01-01 02:00:00,2024-01-01 02:00:00,2024-01-01 02:00:00,NYC,46.0,47.0,13.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
2,validation,2024-01-01,2024-01-01 03:00:00,2024-01-01 03:00:00,2024-01-01 03:00:00,NYC,46.0,47.0,12.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
3,validation,2024-01-01,2024-01-01 04:00:00,2024-01-01 04:00:00,2024-01-01 04:00:00,NYC,46.0,47.0,11.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
4,validation,2024-01-01,2024-01-01 05:00:00,2024-01-01 05:00:00,2024-01-01 05:00:00,NYC,46.0,47.0,10.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
5,validation,2024-01-01,2024-01-01 06:00:00,2024-01-01 06:00:00,2024-01-01 06:00:00,NYC,46.0,47.0,9.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
6,validation,2024-01-01,2024-01-01 07:00:00,2024-01-01 07:00:00,2024-01-01 07:00:00,NYC,46.0,47.0,8.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
7,validation,2024-01-01,2024-01-01 08:00:00,2024-01-01 08:00:00,2024-01-01 08:00:00,NYC,46.0,47.0,7.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
8,validation,2024-01-01,2024-01-01 09:00:00,2024-01-01 09:00:00,2024-01-01 09:00:00,NYC,46.0,47.0,6.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
9,validation,2024-01-01,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-01 10:00:00,NYC,46.0,47.0,5.0,1.0,0.3286466918970027,1.492973470825658,1.4208122247133002,normal,1.0
10,validation,2024-01-01,2024-01-01 11:00:00,2024-01-01 11:00:00,2024-01-01 11:00:00,NYC,46.0,47.0,4.0,1.0,0.3286466918970027,1.503124017151455,1.4262272032979828,normal,1.0
