method,alpha,split,nominal_coverage,empirical_coverage,coverage_gap
raw_ngboost,1.0,validation,0.5,0.6454918032786885,0.1454918032786885
raw_ngboost,1.0,validation,0.8,0.9114298724954463,0.11142987249544622
raw_ngboost,1.0,validation,0.9,0.9673269581056466,0.0673269581056466
raw_ngboost,1.0,validation,0.95,0.9885018214936248,0.0385018214936248
raw_ngboost,1.0,test,0.5,0.5570957095709571,0.05709570957095711
raw_ngboost,1.0,test,0.8,0.8733498349834984,0.07334983498349834
raw_ngboost,1.0,test,0.9,0.9570957095709571,0.05709570957095711
raw_ngboost,1.0,test,0.95,0.9831683168316832,0.0331683168316832
global_sigma_scaled,0.7,validation,0.5,0.5132058287795993,0.013205828779599305
global_sigma_scaled,0.7,validation,0.8,0.8152322404371585,0.015232240437158429
global_sigma_scaled,0.7,validation,0.9,0.9121129326047359,0.012112932604735893
global_sigma_scaled,0.7,validation,0.95,0.9543488160291439,0.004348816029143943
global_sigma_scaled,0.7,test,0.5,0.43184818481848186,-0.06815181518151814
global_sigma_scaled,0.7,test,0.8,0.744059405940594,-0.05594059405940599
global_sigma_scaled,0.7,test,0.9,0.8738448844884489,-0.02615511551155114
global_sigma_scaled,0.7,test,0.95,0.9397689768976898,-0.010231023102310166
