run_name,num_features,validation_nll,validation_sigma_mean,validation_sigma_median,elapsed_seconds,status,error,missing_or_infinite_values,removed_feature,delta_vs_baseline
baseline_full_39,39,1.3240006497536272,1.0979739877480408,1.3321864104395869,20.854,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",,0.0
remove_forecast_high,38,1.3129135095037217,1.094882522552105,1.3068119995724348,18.563,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",forecast_high,-0.011087140249905536
remove_day_of_year_sin,38,1.3385658144004182,1.0936722386136095,1.3290623142714653,18.376,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",day_of_year_sin,0.014565164646791029
remove_day_of_year_cos,38,1.3199579662546506,1.0992075056635215,1.3415209183771521,18.373,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",day_of_year_cos,-0.004042683498976629
remove_hour_sin,38,1.323996139385091,1.0979739877480408,1.3321864104395873,18.382,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",hour_sin,-4.510368536214671e-06
remove_hour_cos,38,1.324001141471894,1.0979739877480408,1.332186410439587,18.438,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",hour_cos,4.917182667707465e-07
remove_month,38,1.323996139385091,1.0979739877480408,1.3321864104395873,18.659,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",month,-4.510368536214671e-06
remove_season,38,1.3375740064830353,1.0970533623900736,1.3303195682372726,18.402,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",season,0.01357335672940807
remove_forecast_horizon_hours,38,1.323996139385091,1.0979739877480408,1.3321864104395873,18.403,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",forecast_horizon_hours,-4.510368536214671e-06
remove_current_temp,38,1.323996139385091,1.0979739877480408,1.3321864104395873,18.146,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",current_temp,-4.510368536214671e-06
