run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma,nll_rank,brier_rank,log_loss_rank,rank_sum
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,0.9,validation,1.9367662074628724,1.158830628606271,0.12488148396588176,2.0755504279586114,2.1006234308450393,257.0,260.0,259.0,776.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,0.9,test,1.829448739562988,1.1189856448226345,0.11843339024200365,2.209681488562646,2.143481473990972,257.0,260.0,259.0,776.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,0.95,validation,1.9109183370799718,1.141373667729476,0.12345838975385189,2.190858785067423,2.2173247325586525,215.0,240.0,235.0,690.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,0.95,test,1.8200692942984464,1.1081435662054764,0.11753727006271801,2.332441571260571,2.262563778101582,215.0,240.0,235.0,690.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.0,validation,1.8947400028346697,1.1297065940039885,0.12239614154701169,2.3061671421762346,2.334026034272266,119.0,200.0,169.0,488.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.0,test,1.8180110878778897,1.1022788268207622,0.11698862218204853,2.455201653958496,2.3816460822121917,119.0,200.0,169.0,488.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.03,validation,1.888802914397293,1.1250149861115732,0.12191687982322999,2.375352156441522,2.404046815300434,82.0,153.0,113.0,348.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.03,test,1.8196011816348636,1.100737395973347,0.1168094506971836,2.5288577035772506,2.453095464678557,82.0,153.0,113.0,348.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.05,validation,1.886187456581144,1.1227236805860497,0.12165862249953882,2.4214754992850467,2.4507273359858797,70.0,129.0,91.0,290.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.05,test,1.8216584014456412,1.1004238468013265,0.11674752372842354,2.577961736656421,2.5007283863228014,70.0,129.0,91.0,290.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.08,validation,1.8840468263647694,1.1204121633377782,0.12135781739845164,2.4906605135503335,2.5207481170140476,57.0,90.0,66.0,213.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.08,test,1.8260580434379756,1.1009115215440406,0.11673530312096032,2.6516177862751755,2.5721777687891674,57.0,90.0,66.0,213.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.1,validation,1.8836890793850551,1.11955419890238,0.12121202603344727,2.5367838563938587,2.567428637699493,56.0,74.0,62.0,192.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.1,test,1.8297736137844194,1.1018164390588598,0.1167778197176926,2.700721819354346,2.619810690433411,56.0,74.0,62.0,192.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.12,validation,1.884101551583054,1.1191940177606339,0.12110773275379745,2.582907199237383,2.614109158384938,58.0,69.0,58.0,185.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.12,test,1.8340484071536463,1.1031426136894273,0.11685848203062328,2.7498258524335157,2.667443612077655,58.0,69.0,58.0,185.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.15,validation,1.8860227165942862,1.1195053174910052,0.12102496271269644,2.65209221350267,2.684129939413106,68.0,58.0,61.0,187.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.15,test,1.8413984420039642,1.1058501818153867,0.11704674105465598,2.8234819020522703,2.7388929945440204,68.0,58.0,61.0,187.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.18,validation,1.8893340487504435,1.120737714378068,0.12102515105958185,2.721277227767957,2.754150720441274,85.0,59.0,70.0,214.0
