run_id,status,feature_set,feature_count,distribution,hyperparams_name,n_estimators,learning_rate,max_depth,min_samples_leaf,minibatch_frac,natural_gradient,random_state,early_stopping_rounds,elapsed_seconds,error_message
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,success,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,19.794844799999737,
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,success,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,100,0.06,2,50,1.0,False,42,20,15.155233499999667,
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,success,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,160,0.04,2,75,1.0,False,42,20,24.170126699998946,
plus_ndfd_metadata__skew_normal__stump_160_lr004_depth1_leaf50_sub1_direct,success,plus_ndfd_metadata,38,skew_normal,stump_160_lr004_depth1_leaf50_sub1_direct,160,0.04,1,50,1.0,False,42,20,16.459347300000445,
plus_day_cos_forecast_high__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,success,plus_day_cos_forecast_high,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,19.55815910000092,
plus_day_cos_forecast_high__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,success,plus_day_cos_forecast_high,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,100,0.06,2,50,1.0,False,42,20,15.722115099999428,
plus_day_cos_forecast_high__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,success,plus_day_cos_forecast_high,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,160,0.04,2,75,1.0,False,42,20,24.93413159999909,
plus_day_cos_forecast_high__skew_normal__stump_160_lr004_depth1_leaf50_sub1_direct,success,plus_day_cos_forecast_high,38,skew_normal,stump_160_lr004_depth1_leaf50_sub1_direct,160,0.04,1,50,1.0,False,42,20,16.818463400000837,
plus_ndfd_day_cos_forecast_high__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,success,plus_ndfd_day_cos_forecast_high,40,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,19.20453810000072,
plus_ndfd_day_cos_forecast_high__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,success,plus_ndfd_day_cos_forecast_high,40,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,100,0.06,2,50,1.0,False,42,20,16.038008999999875,
plus_ndfd_day_cos_forecast_high__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,success,plus_ndfd_day_cos_forecast_high,40,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,160,0.04,2,75,1.0,False,42,20,26.349690900000496,
plus_ndfd_day_cos_forecast_high__skew_normal__stump_160_lr004_depth1_leaf50_sub1_direct,success,plus_ndfd_day_cos_forecast_high,40,skew_normal,stump_160_lr004_depth1_leaf50_sub1_direct,160,0.04,1,50,1.0,False,42,20,17.106096099998467,
plus_ndfd_temp_range__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,success,plus_ndfd_temp_range,39,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,18.767738499998813,
plus_ndfd_temp_range__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,success,plus_ndfd_temp_range,39,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,100,0.06,2,50,1.0,False,42,20,15.68386929999906,
plus_ndfd_temp_range__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,success,plus_ndfd_temp_range,39,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,160,0.04,2,75,1.0,False,42,20,25.12493689999974,
plus_ndfd_temp_range__skew_normal__stump_160_lr004_depth1_leaf50_sub1_direct,success,plus_ndfd_temp_range,39,skew_normal,stump_160_lr004_depth1_leaf50_sub1_direct,160,0.04,1,50,1.0,False,42,20,16.72890009999901,
plus_ndfd_temp_day__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,success,plus_ndfd_temp_day,41,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,120,0.05,2,50,1.0,False,42,20,19.517578299999514,
plus_ndfd_temp_day__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,success,plus_ndfd_temp_day,41,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,100,0.06,2,50,1.0,False,42,20,16.299246999999013,
