feature,mu_importance,sigma_importance,combined_importance
max_so_far_minus_forecast_max_so_far,0.3788709159178015,0.3201531257198145,0.349512020818808
max_so_far_minus_forecast_high,0.3008604466985953,0.2996666999603678,0.30026357332948156
max_temp_error_so_far,0.2261944473876968,0.11010141720840659,0.1681479322980517
day_of_year_sin,0.012458514731785648,0.08116129421785083,0.04680990447481824
forecast_max_so_far,0.0017899274696812318,0.061464184122680725,0.031627055796180976
month,0.02184732414474339,0.032223754668151576,0.027035539406447484
season,0.05373293328988422,0.0,0.02686646664494211
mean_temp_error_so_far,0.004245490359811961,0.036982570624306585,0.020614030492059274
max_temp_so_far,0.0,0.023307576343513155,0.011653788171756578
temp_minus_dew_point,0.0,0.012959122277291403,0.006479561138645702
near_boundary_duration_so_far,0.0,0.01174780415090198,0.00587390207545099
hour_of_max_temp_so_far,0.0,0.0055516996154801905,0.0027758498077400952
wind_dir_sin,0.0,0.00468075109123459,0.002340375545617295
hour_sin,0.0,0.0,0.0
hour_cos,0.0,0.0,0.0
precipitation_now,0.0,0.0,0.0
dew_point,0.0,0.0,0.0
cloud_cover_now,0.0,0.0,0.0
current_temp,0.0,0.0,0.0
forecast_horizon_hours,0.0,0.0,0.0
temp_change_300m,0.0,0.0,0.0
temp_change_240m,0.0,0.0,0.0
temp_change_180m,0.0,0.0,0.0
temp_change_120m,0.0,0.0,0.0
temp_change_60m,0.0,0.0,0.0
wind_dir_cos,0.0,0.0,0.0
wind_speed,0.0,0.0,0.0
temp_acceleration_60m,0.0,0.0,0.0
minutes_since_max_temp_so_far,0.0,0.0,0.0
current_temp_minus_max_so_far,0.0,0.0,0.0
forecast_temp_current_hour,0.0,0.0,0.0
current_temp_minus_forecast_temp,0.0,0.0,0.0
temp_change_60m_minus_3h_avg_rate,0.0,0.0,0.0
num_new_highs_last_3h,0.0,0.0,0.0
area_under_temp_curve_so_far,0.0,0.0,0.0
minutes_until_typical_peak,0.0,0.0,0.0
