date,location,official_daily_high_f,openmeteo_daily_max_f,old_actual_high_f,max_hourly_tmpf,old_minus_official,openmeteo_minus_official,max_hourly_minus_official
2022-01-01,NYC,56.0,53.3,53.3,56.0,-2.700000000000003,-2.700000000000003,0.0
2022-01-02,NYC,59.0,55.8,55.8,59.0,-3.200000000000003,-3.200000000000003,0.0
2022-01-03,NYC,37.0,35.8,35.8,37.0,-1.2000000000000028,-1.2000000000000028,0.0
2022-01-04,NYC,34.0,33.5,33.5,34.0,-0.5,-0.5,0.0
2022-01-05,NYC,47.0,44.7,44.7,47.0,-2.299999999999997,-2.299999999999997,0.0
2022-01-06,NYC,41.0,39.7,39.7,40.0,-1.2999999999999972,-1.2999999999999972,-1.0
2022-01-07,NYC,34.0,32.2,32.2,33.0,-1.7999999999999972,-1.7999999999999972,-1.0
2022-01-08,NYC,30.0,26.2,26.2,30.0,-3.8000000000000007,-3.8000000000000007,0.0
2022-01-09,NYC,40.0,39.4,39.4,39.0,-0.6000000000000014,-0.6000000000000014,-1.0
2022-01-10,NYC,40.0,39.7,39.7,40.0,-0.29999999999999716,-0.29999999999999716,0.0
2022-01-11,NYC,24.0,24.7,24.7,23.0,0.6999999999999993,0.6999999999999993,-1.0
2022-01-12,NYC,40.0,40.5,40.5,39.0,0.5,0.5,-1.0
2022-01-13,NYC,48.0,45.0,45.0,48.0,-3.0,-3.0,0.0
2022-01-14,NYC,43.0,41.2,41.2,42.0,-1.7999999999999972,-1.7999999999999972,-1.0
2022-01-15,NYC,21.0,22.7,22.7,19.9,1.6999999999999993,1.6999999999999993,-1.1000000000000014
2022-01-16,NYC,37.0,34.5,34.5,37.0,-2.5,-2.5,0.0
2022-01-17,NYC,44.0,49.6,49.6,44.0,5.600000000000001,5.600000000000001,0.0
2022-01-18,NYC,36.0,35.3,35.3,36.0,-0.7000000000000028,-0.7000000000000028,0.0
2022-01-19,NYC,49.0,45.9,45.9,49.0,-3.1000000000000014,-3.1000000000000014,0.0
2022-01-20,NYC,46.0,41.6,41.6,45.0,-4.399999999999999,-4.399999999999999,-1.0
2022-01-21,NYC,22.0,22.6,22.6,21.0,0.6000000000000014,0.6000000000000014,-1.0
