location,prediction_time,n_rows,mean_error,median_error,std_error,min_error,p05_error,p25_error,p75_error,p95_error,max_error,missing_actual_high,missing_forecast_high,missing_forecast_error
ALL,ALL,38424,0.405484,0.050011,2.636552,-8.990022,-3.910011,-1.049989,1.989989,5.030022,15.009978,0,0,0
NYC,ALL,38424,0.405484,0.050011,2.636552,-8.990022,-3.910011,-1.049989,1.989989,5.030022,15.009978,0,0,0
ALL,00:00,1601,0.482806,0.07,2.818575,-8.969978,-3.969978,-1.049989,2.009978,5.089989,15.009978,0,0,0
ALL,01:00,1601,0.482806,0.07,2.818575,-8.969978,-3.969978,-1.049989,2.009978,5.089989,15.009978,0,0,0
ALL,02:00,1601,0.475273,0.07,2.807175,-8.969978,-3.969978,-1.049989,2.009978,5.089989,15.009978,0,0,0
ALL,03:00,1601,0.460208,0.07,2.786861,-8.969978,-3.949989,-1.049989,1.989989,5.089989,15.009978,0,0,0
ALL,04:00,1601,0.460208,0.07,2.786861,-8.969978,-3.949989,-1.049989,1.989989,5.089989,15.009978,0,0,0
ALL,05:00,1601,0.460208,0.07,2.786861,-8.969978,-3.949989,-1.049989,1.989989,5.089989,15.009978,0,0,0
ALL,06:00,1601,0.460208,0.07,2.786861,-8.969978,-3.949989,-1.049989,1.989989,5.089989,15.009978,0,0,0
ALL,07:00,1601,0.460208,0.07,2.786861,-8.969978,-3.949989,-1.049989,1.989989,5.089989,15.009978,0,0,0
ALL,08:00,1601,0.391851,0.050011,2.667285,-8.969978,-3.910011,-1.049989,1.989989,5.009978,11.930022,0,0,0
ALL,09:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,10:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,11:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,12:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,13:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,14:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,15:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,16:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,17:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,18:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,19:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,20:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
ALL,21:00,1601,0.373188,0.050011,2.545187,-8.990022,-3.069978,-1.049989,1.97,4.930022,11.930022,0,0,0
