fetched_at,ticker,outcome_side,quote_type,price_dollars,size_contracts,level,cumulative_size,source_book_side
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.99,3439.56,1,3439.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.98,261.0,2,3700.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.97,21.0,3,3721.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.96,100.0,4,3821.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.95,3.0,5,3824.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.93,10.0,6,3834.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.9,3.0,7,3837.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.76,25.0,8,3862.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.75,6.0,9,3868.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.65,4.0,10,3872.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.64,80.0,11,3952.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.55,2.0,12,3954.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.54,10.0,13,3964.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.4,85.0,14,4049.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.34,13.0,15,4062.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.31,100.0,16,4162.5599999999995,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.3,10.0,17,4172.5599999999995,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.25,61.02,18,4233.58,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.2,7.0,19,4240.58,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,YES,bid,0.19,4.0,20,4244.58,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.01,3439.56,1,3439.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.02,261.0,2,3700.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.03,21.0,3,3721.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.04,100.0,4,3821.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.05,3.0,5,3824.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.07,10.0,6,3834.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.1,3.0,7,3837.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.24,25.0,8,3862.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.25,6.0,9,3868.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.35,4.0,10,3872.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.36,80.0,11,3952.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.45,2.0,12,3954.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.46,10.0,13,3964.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.6,85.0,14,4049.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.66,13.0,15,4062.56,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.69,100.0,16,4162.5599999999995,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.7,10.0,17,4172.5599999999995,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.75,61.02,18,4233.58,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.8,7.0,19,4240.58,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T83,NO,ask,0.81,4.0,20,4244.58,yes_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.99,3742.84,1,3742.84,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.98,200.0,2,3942.84,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.97,461.72,3,4404.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.96,107.0,4,4511.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.91,11.0,5,4522.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.82,18.0,6,4540.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.78,1.0,7,4541.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.76,22.13,8,4563.6900000000005,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.74,73.05,9,4636.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.72,1.0,10,4637.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.7,1.0,11,4638.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.69,2.0,12,4640.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.68,749.0,13,5389.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.67,34.39,14,5424.130000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.64,321.76,15,5745.890000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.61,21.8,16,5767.690000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.53,10.0,17,5777.690000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.5,10.0,18,5787.690000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.48,9.89,19,5797.580000000002,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,NO,bid,0.46,10.44,20,5808.020000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.01,3742.84,1,3742.84,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.02,200.0,2,3942.84,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.03,461.72,3,4404.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.04,107.0,4,4511.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.09,11.0,5,4522.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.18,18.0,6,4540.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.22,1.0,7,4541.56,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.24,22.13,8,4563.6900000000005,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.26,73.05,9,4636.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.28,1.0,10,4637.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.3,1.0,11,4638.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.31,2.0,12,4640.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.32,749.0,13,5389.740000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.33,34.39,14,5424.130000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.36,321.76,15,5745.890000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.39,21.8,16,5767.690000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.47,10.0,17,5777.690000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.5,10.0,18,5787.690000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.52,9.89,19,5797.580000000002,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B83.5,YES,ask,0.54,10.44,20,5808.020000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.99,6547.43,1,6547.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.98,253.0,2,6800.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.97,268.0,3,7068.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.96,40.27,4,7108.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.95,108.0,5,7216.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.94,22.0,6,7238.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.93,32.0,7,7270.700000000001,no_dollars
