contract_multiplier,eligible,cagr,sharpe,sortino,calmar,max_drawdown_fraction,net_pnl,profit_factor,executed_signals,rejected_for_cash,max_concurrent_cash_committed,fold_pnl
1,False,0.02020900057181696,6.085649987816497,15.215038943702751,20.283286153844596,-0.0011492220650637375,21.09,2.784263959390863,172,0,4.54,"{'trading_outer_00': 12.32, 'trading_outer_01': 6.079999999999999, 'trading_outer_02': 2.69}"
2,False,0.041242893909506195,6.1931623692598965,15.726774123740931,21.45268907093827,-0.002218492582518272,43.06,2.8754355400696863,172,0,9.01,"{'trading_outer_00': 25.069999999999997, 'trading_outer_01': 12.379999999999999, 'trading_outer_02': 5.61}"
3,False,0.062373207962248545,6.231944165317605,15.904406079882708,22.15785789473667,-0.0032497678737233304,65.14999999999999,2.9122395068975635,172,0,13.51,"{'trading_outer_00': 37.87, 'trading_outer_01': 18.699999999999996, 'trading_outer_02': 8.58}"
4,False,0.08351406441491238,6.255318843639848,16.05055391307485,22.823391461859636,-0.004226204328601324,87.27000000000001,2.926915433870611,172,0,17.95,"{'trading_outer_00': 50.71, 'trading_outer_01': 25.069999999999997, 'trading_outer_02': 11.49}"
5,False,0.10447486745694379,6.2597402684961985,16.077575373592275,23.268756803118585,-0.005187936902975587,109.21999999999998,2.933781869688385,172,0,22.45,"{'trading_outer_00': 63.45, 'trading_outer_01': 31.399999999999995, 'trading_outer_02': 14.370000000000001}"
6,False,0.12543759686113987,6.2658604341398325,16.0945257956703,23.70229631888572,-0.006117528518478466,131.19,2.9395328208160847,172,0,26.93,"{'trading_outer_00': 76.2, 'trading_outer_01': 37.67, 'trading_outer_02': 17.32}"
7,False,0.14651691422533775,6.2738549969431805,16.139819549621336,24.18133295454581,-0.007006927303129129,153.3,2.9476559522297023,172,0,31.38,"{'trading_outer_00': 89.0, 'trading_outer_01': 44.03999999999999, 'trading_outer_02': 20.260000000000005}"
8,False,0.16733193622637543,6.271271298414431,16.137812605630828,24.495771171457967,-0.007902867835850258,175.15000000000003,2.942011309457812,172,0,35.85,"{'trading_outer_00': 101.76, 'trading_outer_01': 50.29, 'trading_outer_02': 23.1}"
9,False,0.1883307793224238,6.274946587434093,16.148034748746692,24.92766321202111,-0.008744058579197578,197.20999999999998,2.9467917077986185,172,0,40.33,"{'trading_outer_00': 114.53999999999998, 'trading_outer_01': 56.61000000000001, 'trading_outer_02': 26.060000000000006}"
10,False,0.2091995270397209,6.2751553186906746,16.150851463347767,25.339378947368473,-0.009558972284038014,219.14999999999998,2.9476537504443674,172,0,44.800000000000004,"{'trading_outer_00': 127.29000000000002, 'trading_outer_01': 62.919999999999995, 'trading_outer_02': 28.94}"
11,False,0.23014775876978844,6.279209450699477,16.170843040836555,25.80157936968917,-0.0103318644658551,241.19,2.951059699077819,172,0,49.29,"{'trading_outer_00': 140.06999999999996, 'trading_outer_01': 69.22999999999999, 'trading_outer_02': 31.889999999999997}"
12,False,0.2511850470440484,6.282162384253186,16.18807217386608,26.230121443298568,-0.0110964030658105,263.34,2.953271028037384,172,0,53.760000000000005,"{'trading_outer_00': 152.92000000000002, 'trading_outer_01': 75.59999999999998, 'trading_outer_02': 34.82}"
13,False,0.27208374932900203,6.283759241478202,16.19716958399433,26.640937604923245,-0.011838843640343821,285.36,2.9557261325474617,172,0,58.21,"{'trading_outer_00': 165.69, 'trading_outer_01': 81.92999999999996, 'trading_outer_02': 37.739999999999995}"
14,False,0.29298661034723006,6.286359584261969,16.209665148275807,27.068809808159255,-0.01255163773896073,307.4,2.95746306673459,172,0,62.7,"{'trading_outer_00': 178.45, 'trading_outer_01': 88.24999999999999, 'trading_outer_02': 40.70000000000001}"
