trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl,outer_fold_id,selected_filter_candidate,contract_multiplier
1,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B60.5,2025-05-05 14:15:00+00:00,2025-05-05 14:16:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.1501730528692295,BUY_YES,0.06,0.05,kalshi_candlestick,yes_ask_open,1.0,20,1.2,0.08,0.01,1.28,0.0801730528692295,0.0141794466573023,1,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,991.41,18.8,18.72,trading_outer_00,edge_0_all_both_unlimited,20
2,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B62.5,2025-05-05 14:15:00+00:00,2025-05-05 14:17:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.8498269471307706,BUY_YES,0.64,0.63,kalshi_candlestick,yes_ask_open,2.0,20,12.8,0.33,0.01,13.13,0.1898269471307705,0.0864219120912067,0,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,991.41,-12.8,-13.13,trading_outer_00,edge_0_all_both_unlimited,20
3,NYC,2025-05-08,KXHIGHNY-25MAY08,KXHIGHNY-25MAY08-B71.5,2025-05-08 14:35:00+00:00,2025-05-08 14:37:00+00:00,2025-05-15 14:00:00+00:00,2025-05-08 14:00:00+00:00,35.0,0.1038972892374942,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,2.0,20,0.8,0.06,0.01,0.8600000000000001,0.0538972892374942,0.0014097910317482,0,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,991.41,-0.8,-0.8600000000000001,trading_outer_00,edge_0_all_both_unlimited,20
4,NYC,2025-05-10,KXHIGHNY-25MAY10,KXHIGHNY-25MAY10-B72.5,2025-05-10 20:20:00+00:00,2025-05-10 20:21:00+00:00,2025-05-17 14:00:00+00:00,2025-05-10 20:00:00+00:00,20.0,0.864207699718811,BUY_YES,0.65,0.64,kalshi_candlestick,yes_ask_open,1.0,20,13.0,0.32,0.01,13.32,0.1942076997188109,0.0931593100724633,1,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,1002.9899999999999,7.0,6.68,trading_outer_00,edge_0_all_both_unlimited,20
5,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B69.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.7156708123451629,BUY_YES,0.32,0.31,kalshi_candlestick,yes_ask_open,1.0,20,6.4,0.31,0.01,6.71,0.3756708123451629,0.2591925931803211,1,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,1003.16,13.6,13.29,trading_outer_00,edge_0_all_both_unlimited,20
6,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B71.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.2843291876548369,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,20,1.6,0.11,0.0099999999999999,1.7100000000000002,0.1943291876548369,0.1009153816589255,0,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,1003.16,-1.6,-1.7100000000000002,trading_outer_00,edge_0_all_both_unlimited,20
7,NYC,2025-05-17,KXHIGHNY-25MAY17,KXHIGHNY-25MAY17-B80.5,2025-05-17 20:45:00+00:00,2025-05-17 20:46:00+00:00,2025-05-24 14:00:00+00:00,2025-05-17 20:00:00+00:00,45.0,0.6250337320493871,BUY_YES,0.46,0.45,kalshi_candlestick,yes_ask_open,1.0,20,9.200000000000001,0.35,0.01,9.55,0.145033732049387,0.0262026040078233,0,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,993.06,-9.200000000000001,-9.55,trading_outer_00,edge_0_all_both_unlimited,20
8,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B68.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.1595822321120766,BUY_YES,0.02,0.01,kalshi_candlestick,yes_ask_open,1.0,20,0.4,0.03,0.01,0.43000000000000005,0.1295822321120766,0.0611667990921707,0,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,993.06,-0.4,-0.43000000000000005,trading_outer_00,edge_0_all_both_unlimited,20
9,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B70.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.2306190767665832,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,20,1.6,0.11,0.0099999999999999,1.7100000000000002,0.1406190767665832,0.0565594926174563,0,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,993.06,-1.6,-1.7100000000000002,trading_outer_00,edge_0_all_both_unlimited,20
10,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B72.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.60979869112134,BUY_YES,0.39,0.38,kalshi_candlestick,yes_ask_open,1.0,20,7.800000000000001,0.34,0.01,8.14,0.19979869112134,0.0809777675443306,1,kalshi_result,next_candle_open,counterfactual_constant_leverage_no_historical_depth,False,1013.06,12.2,11.86,trading_outer_00,edge_0_all_both_unlimited,20
