trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl,outer_fold_id,selected_filter_candidate
1,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B60.5,2025-05-05 14:15:00+00:00,2025-05-05 14:16:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.1501730528692295,BUY_YES,0.06,0.05,kalshi_candlestick,yes_ask_open,1.0,1,0.06,0.0099999999999999,0.01,0.07,0.0801730528692295,0.0141794466573023,1,kalshi_result,next_candle_open,historical_proxy_validated,False,999.55,0.94,0.93,trading_outer_00,edge_0_all_both_unlimited
2,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B62.5,2025-05-05 14:15:00+00:00,2025-05-05 14:17:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.8498269471307706,BUY_YES,0.64,0.63,kalshi_candlestick,yes_ask_open,2.0,1,0.64,0.02,0.01,0.66,0.1898269471307705,0.0864219120912067,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.55,-0.64,-0.66,trading_outer_00,edge_0_all_both_unlimited
3,NYC,2025-05-08,KXHIGHNY-25MAY08,KXHIGHNY-25MAY08-B71.5,2025-05-08 14:35:00+00:00,2025-05-08 14:37:00+00:00,2025-05-15 14:00:00+00:00,2025-05-08 14:00:00+00:00,35.0,0.1038972892374942,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,2.0,1,0.04,0.01,0.01,0.05,0.0538972892374942,0.0014097910317482,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.55,-0.04,-0.05,trading_outer_00,edge_0_all_both_unlimited
4,NYC,2025-05-10,KXHIGHNY-25MAY10,KXHIGHNY-25MAY10-B72.5,2025-05-10 20:20:00+00:00,2025-05-10 20:21:00+00:00,2025-05-17 14:00:00+00:00,2025-05-10 20:00:00+00:00,20.0,0.864207699718811,BUY_YES,0.65,0.64,kalshi_candlestick,yes_ask_open,1.0,1,0.65,0.02,0.01,0.67,0.1942076997188109,0.0931593100724633,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.12,0.35,0.3299999999999999,trading_outer_00,edge_0_all_both_unlimited
5,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B69.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.7156708123451629,BUY_YES,0.32,0.31,kalshi_candlestick,yes_ask_open,1.0,1,0.32,0.02,0.01,0.34,0.3756708123451629,0.2591925931803211,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.11,0.6799999999999999,0.6599999999999999,trading_outer_00,edge_0_all_both_unlimited
6,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B71.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.2843291876548369,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,1,0.08,0.01,0.0099999999999999,0.09,0.1943291876548369,0.1009153816589255,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.11,-0.08,-0.09,trading_outer_00,edge_0_all_both_unlimited
7,NYC,2025-05-17,KXHIGHNY-25MAY17,KXHIGHNY-25MAY17-B80.5,2025-05-17 20:45:00+00:00,2025-05-17 20:46:00+00:00,2025-05-24 14:00:00+00:00,2025-05-17 20:00:00+00:00,45.0,0.6250337320493871,BUY_YES,0.46,0.45,kalshi_candlestick,yes_ask_open,1.0,1,0.46,0.02,0.01,0.48,0.145033732049387,0.0262026040078233,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.6,-0.46,-0.48,trading_outer_00,edge_0_all_both_unlimited
8,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B68.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.1595822321120766,BUY_YES,0.02,0.01,kalshi_candlestick,yes_ask_open,1.0,1,0.02,0.01,0.01,0.03,0.1295822321120766,0.0611667990921707,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.6,-0.02,-0.03,trading_outer_00,edge_0_all_both_unlimited
9,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B70.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.2306190767665832,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,1,0.08,0.01,0.0099999999999999,0.09,0.1406190767665832,0.0565594926174563,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.6,-0.08,-0.09,trading_outer_00,edge_0_all_both_unlimited
10,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B72.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.60979869112134,BUY_YES,0.39,0.38,kalshi_candlestick,yes_ask_open,1.0,1,0.39,0.02,0.01,0.41,0.19979869112134,0.0809777675443306,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.6,0.61,0.59,trading_outer_00,edge_0_all_both_unlimited
