trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl,outer_fold_id,selected_filter_candidate,kelly_fraction
1,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B60.5,2025-05-05 14:15:00+00:00,2025-05-05 14:16:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.1501730528692295,BUY_YES,0.06,0.05,kalshi_candlestick,yes_ask_open,1.0,62,3.7199999999999998,0.25,0.01,3.9699999999999998,0.0801730528692295,0.0141794466573023,1,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1048.37,58.28,58.03,trading_outer_00,edge_0_all_both_unlimited,0.25
2,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B62.5,2025-05-05 14:15:00+00:00,2025-05-05 14:17:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.8498269471307706,BUY_YES,0.64,0.63,kalshi_candlestick,yes_ask_open,2.0,7,4.48,0.12,0.01,4.6000000000000005,0.1898269471307705,0.0864219120912067,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1048.37,-4.48,-4.6000000000000005,trading_outer_00,edge_0_all_both_unlimited,0.25
3,NYC,2025-05-08,KXHIGHNY-25MAY08,KXHIGHNY-25MAY08-B71.5,2025-05-08 14:35:00+00:00,2025-05-08 14:37:00+00:00,2025-05-15 14:00:00+00:00,2025-05-08 14:00:00+00:00,35.0,0.1038972892374942,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,2.0,9,0.36,0.03,0.01,0.39,0.0538972892374942,0.0014097910317482,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1048.37,-0.36,-0.39,trading_outer_00,edge_0_all_both_unlimited,0.25
4,NYC,2025-05-10,KXHIGHNY-25MAY10,KXHIGHNY-25MAY10-B72.5,2025-05-10 20:20:00+00:00,2025-05-10 20:21:00+00:00,2025-05-17 14:00:00+00:00,2025-05-10 20:00:00+00:00,20.0,0.864207699718811,BUY_YES,0.65,0.64,kalshi_candlestick,yes_ask_open,1.0,7,4.55,0.12,0.01,4.67,0.1942076997188109,0.0931593100724633,1,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1044.46,2.45,2.33,trading_outer_00,edge_0_all_both_unlimited,0.25
5,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B69.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.7156708123451629,BUY_YES,0.32,0.31,kalshi_candlestick,yes_ask_open,1.0,16,5.12,0.25,0.01,5.37,0.3756708123451629,0.2591925931803211,1,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1044.03,10.879999999999999,10.629999999999999,trading_outer_00,edge_0_all_both_unlimited,0.25
6,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B71.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.2843291876548369,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,65,5.2,0.34,0.0099999999999999,5.54,0.1943291876548369,0.1009153816589255,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1044.03,-5.2,-5.54,trading_outer_00,edge_0_all_both_unlimited,0.25
7,NYC,2025-05-17,KXHIGHNY-25MAY17,KXHIGHNY-25MAY17-B80.5,2025-05-17 20:45:00+00:00,2025-05-17 20:46:00+00:00,2025-05-24 14:00:00+00:00,2025-05-17 20:00:00+00:00,45.0,0.6250337320493871,BUY_YES,0.46,0.45,kalshi_candlestick,yes_ask_open,1.0,11,5.0600000000000005,0.2,0.01,5.260000000000001,0.145033732049387,0.0262026040078233,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1032.92,-5.0600000000000005,-5.260000000000001,trading_outer_00,edge_0_all_both_unlimited,0.25
8,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B68.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.1595822321120766,BUY_YES,0.02,0.01,kalshi_candlestick,yes_ask_open,1.0,263,5.26,0.37,0.01,5.63,0.1295822321120766,0.0611667990921707,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1032.92,-5.26,-5.63,trading_outer_00,edge_0_all_both_unlimited,0.25
9,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B70.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.2306190767665832,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,65,5.2,0.34,0.0099999999999999,5.54,0.1406190767665832,0.0565594926174563,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1032.92,-5.2,-5.54,trading_outer_00,edge_0_all_both_unlimited,0.25
11,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-B64.5,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.5970331875068354,BUY_YES,0.31,0.3,kalshi_candlestick,yes_ask_open,1.0,17,5.27,0.26,0.01,5.529999999999999,0.2670331875068354,0.1483048391819731,1,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1038.81,11.73,11.47,trading_outer_00,edge_0_all_both_unlimited,0.25
12,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-T62,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.4029668124931647,BUY_YES,0.17,0.16,kalshi_candlestick,yes_ask_open,1.0,31,5.2700000000000005,0.31,0.01,5.58,0.2229668124931646,0.1146154526138885,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1038.81,-5.2700000000000005,-5.58,trading_outer_00,edge_0_all_both_unlimited,0.25
14,NYC,2025-05-30,KXHIGHNY-25MAY30,KXHIGHNY-25MAY30-B77.5,2025-05-30 15:15:00+00:00,2025-05-30 15:16:00+00:00,2025-06-06 14:00:00+00:00,2025-05-30 15:00:00+00:00,15.0,0.2108169634787051,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,65,5.2,0.34,0.0099999999999999,5.54,0.1208169634787051,0.0407012019804581,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,997.3299999999999,-5.2,-5.54,trading_outer_00,edge_0_all_both_unlimited,0.25
15,NYC,2025-05-30,KXHIGHNY-25MAY30,KXHIGHNY-25MAY30-T73,2025-05-30 15:15:00+00:00,2025-05-30 15:16:00+00:00,2025-06-06 14:00:00+00:00,2025-05-30 15:00:00+00:00,15.0,0.1948029769595473,BUY_YES,0.09,0.08,kalshi_candlestick,yes_ask_open,1.0,57,5.13,0.33,0.0099999999999999,5.46,0.0948029769595473,0.0180977896389079,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,997.3299999999999,-5.13,-5.46,trading_outer_00,edge_0_all_both_unlimited,0.25
16,NYC,2025-05-30,KXHIGHNY-25MAY30,KXHIGHNY-25MAY30-T80,2025-05-30 15:25:00+00:00,2025-05-30 15:26:00+00:00,2025-06-06 14:00:00+00:00,2025-05-30 15:00:00+00:00,25.0,0.1599461869335233,BUY_YES,0.02,0.01,kalshi_candlestick,yes_ask_open,1.0,5,0.1,0.01,0.01,0.11,0.1299461869335233,0.0614389670502386,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,997.3299999999999,-0.1,-0.11,trading_outer_00,edge_0_all_both_unlimited,0.25
17,NYC,2025-05-31,KXHIGHNY-25MAY31,KXHIGHNY-25MAY31-B70.5,2025-05-31 14:50:00+00:00,2025-05-31 14:51:00+00:00,2025-06-07 14:00:00+00:00,2025-05-31 14:00:00+00:00,50.0,0.3201989846676697,BUY_YES,0.14,0.13,kalshi_candlestick,yes_ask_open,1.0,37,5.180000000000001,0.32,0.01,5.500000000000001,0.1701989846676697,0.07150056386714,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,997.3299999999999,-5.180000000000001,-5.500000000000001,trading_outer_00,edge_0_all_both_unlimited,0.25
18,NYC,2025-05-31,KXHIGHNY-25MAY31,KXHIGHNY-25MAY31-T68,2025-05-31 14:50:00+00:00,2025-05-31 14:51:00+00:00,2025-06-07 14:00:00+00:00,2025-05-31 14:00:00+00:00,50.0,0.6798010153323303,BUY_YES,0.43,0.42,kalshi_candlestick,yes_ask_open,1.0,12,5.16,0.21,0.01,5.37,0.2298010153323303,0.1118741933368297,1,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1009.3299999999999,6.84,6.63,trading_outer_00,edge_0_all_both_unlimited,0.25
19,NYC,2025-06-01,KXHIGHNY-25JUN01,KXHIGHNY-25JUN01-B66.5,2025-06-01 15:50:00+00:00,2025-06-01 15:51:00+00:00,2025-06-08 14:00:00+00:00,2025-06-01 15:00:00+00:00,50.0,0.6129781318249845,BUY_YES,0.44,0.43,kalshi_candlestick,yes_ask_open,1.0,11,4.84,0.19,0.01,5.03,0.1529781318249845,0.0341460047308899,1,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1011.8399999999999,6.16,5.97,trading_outer_00,edge_0_all_both_unlimited,0.25
20,NYC,2025-06-01,KXHIGHNY-25JUN01,KXHIGHNY-25JUN01-B68.5,2025-06-01 15:50:00+00:00,2025-06-01 15:51:00+00:00,2025-06-08 14:00:00+00:00,2025-06-01 15:00:00+00:00,50.0,0.3870218681750155,BUY_YES,0.25,0.24,kalshi_candlestick,yes_ask_open,1.0,14,3.5,0.19,0.01,3.69,0.1170218681750155,0.0102719244933662,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1011.8399999999999,-3.5,-3.69,trading_outer_00,edge_0_all_both_unlimited,0.25
21,NYC,2025-06-04,KXHIGHNY-25JUN04,KXHIGHNY-25JUN04-B82.5,2025-06-04 13:25:00+00:00,2025-06-04 13:26:00+00:00,2025-06-11 14:00:00+00:00,2025-06-04 13:00:00+00:00,25.0,0.6411170125100824,BUY_YES,0.47,0.46,kalshi_candlestick,yes_ask_open,1.0,11,5.17,0.2,0.01,5.37,0.1511170125100823,0.032396016029363,1,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1022.8399999999999,5.83,5.63,trading_outer_00,edge_0_all_both_unlimited,0.25
22,NYC,2025-06-04,KXHIGHNY-25JUN04,KXHIGHNY-25JUN04-B86.5,2025-06-04 17:40:00+00:00,2025-06-04 17:41:00+00:00,2025-06-11 14:00:00+00:00,2025-06-04 17:00:00+00:00,40.0,0.3670646893318238,BUY_YES,0.12,0.11,kalshi_candlestick,yes_ask_open,1.0,43,5.16,0.32,0.0099999999999999,5.48,0.2370646893318238,0.1324884229407857,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1022.8399999999999,-5.16,-5.48,trading_outer_00,edge_0_all_both_unlimited,0.25
26,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B84.5,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.2765118358628871,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,1.0,8,0.32,0.03,0.01,0.35,0.226511835862887,0.1343471534820813,0,kalshi_result,next_candle_open,counterfactual_sizing_sensitivity_no_historical_depth,False,1045.84,-0.32,-0.35,trading_outer_00,edge_0_all_both_unlimited,0.25
