trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
1,NYC,2024-12-23,KXHIGHNY-24DEC23,KXHIGHNY-24DEC23-B26.5,2024-12-23 20:35:00+00:00,2024-12-23 20:36:00+00:00,2024-12-30 15:00:00+00:00,2024-12-23 20:00:00+00:00,35.0,0.5928677062055514,BUY_YES,0.15000000000000002,0.14,kalshi_candlestick,yes_ask_open,1.0,1,0.15000000000000002,0.00999999999999998,0.010000000000000009,0.16,0.43286770620555143,0.1082980616254807,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.84,-0.15000000000000002,-0.16
2,NYC,2025-01-05,KXHIGHNY-25JAN05,KXHIGHNY-25JAN05-B32.5,2025-01-05 16:40:00+00:00,2025-01-05 16:41:00+00:00,2025-01-12 15:00:00+00:00,2025-01-05 16:00:00+00:00,40.0,0.556397784439619,BUY_YES,0.13,0.12,kalshi_candlestick,yes_ask_open,1.0,1,0.13,0.01,0.010000000000000009,0.14,0.41639778443961895,0.08537822341241626,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.38,0.87,0.86
3,NYC,2025-01-09,KXHIGHNY-25JAN09,KXHIGHNY-25JAN09-B32.5,2025-01-09 06:10:00+00:00,2025-01-09 06:11:00+00:00,2025-01-16 15:00:00+00:00,2025-01-09 06:00:00+00:00,10.0,0.5514583175992853,BUY_YES,0.3,0.29,kalshi_candlestick,yes_ask_open,1.0,1,0.3,0.02,0.010000000000000009,0.32,0.23145831759928534,0.10811783881900246,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.33,0.7,0.6799999999999999
4,NYC,2025-01-15,KXHIGHNY-25JAN15,KXHIGHNY-25JAN15-B29.5,2025-01-15 16:45:00+00:00,2025-01-15 16:46:00+00:00,2025-01-22 15:00:00+00:00,2025-01-15 16:00:00+00:00,45.0,0.26611891793345827,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,1.0,1,0.04,0.01,0.010000000000000002,0.05,0.21611891793345825,0.09361151364051089,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.21,-0.04,-0.05
5,NYC,2025-01-22,KXHIGHNY-25JAN22,KXHIGHNY-25JAN22-B18.5,2025-01-22 13:05:00+00:00,2025-01-22 13:06:00+00:00,2025-01-29 15:00:00+00:00,2025-01-22 13:00:00+00:00,5.0,0.3593567811645948,BUY_YES,0.11,0.1,kalshi_candlestick,yes_ask_open,1.0,1,0.11,0.01,0.009999999999999995,0.12,0.2393567811645948,0.0841853410597174,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.21,-0.11,-0.12
6,NYC,2025-01-30,KXHIGHNY-25JAN30,KXHIGHNY-25JAN30-B34.5,2025-01-30 20:45:00+00:00,2025-01-30 20:46:00+00:00,2025-02-06 15:00:00+00:00,2025-01-30 20:00:00+00:00,45.0,0.5567986376264626,BUY_YES,0.06999999999999999,0.06,kalshi_candlestick,yes_ask_open,1.0,1,0.06999999999999999,0.01000000000000001,0.009999999999999995,0.08,0.47679863762646263,0.12436072435887169,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.7,-0.06999999999999999,-0.08
7,NYC,2025-02-03,KXHIGHNY-25FEB03,KXHIGHNY-25FEB03-B46.5,2025-02-03 16:10:00+00:00,2025-02-03 16:11:00+00:00,2025-02-10 15:00:00+00:00,2025-02-03 16:00:00+00:00,10.0,0.5991066260139479,BUY_YES,0.29000000000000004,0.28,kalshi_candlestick,yes_ask_open,1.0,1,0.29000000000000004,0.01999999999999996,0.010000000000000009,0.31,0.28910662601394793,0.09202830034364257,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.99,-0.29000000000000004,-0.31
8,NYC,2025-02-05,KXHIGHNY-25FEB05,KXHIGHNY-25FEB05-B33.5,2025-02-05 16:30:00+00:00,2025-02-05 16:31:00+00:00,2025-02-12 15:00:00+00:00,2025-02-05 16:00:00+00:00,30.0,0.31952711281790486,BUY_YES,0.11,0.1,kalshi_candlestick,yes_ask_open,1.0,1,0.11,0.01,0.009999999999999995,0.12,0.19952711281790486,0.08496226805400031,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.99,-0.11,-0.12
9,NYC,2025-02-06,KXHIGHNY-25FEB06,KXHIGHNY-25FEB06-B37.5,2025-02-06 20:00:00+00:00,2025-02-06 20:01:00+00:00,2025-02-13 15:00:00+00:00,2025-02-06 20:00:00+00:00,0.0,0.6335148368501109,BUY_YES,0.09,0.08,kalshi_candlestick,yes_ask_open,1.0,1,0.09,0.01,0.009999999999999995,0.09999999999999999,0.5335148368501109,0.1027171940451314,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.99,0.91,0.9
10,NYC,2025-02-08,KXHIGHNY-25FEB08,KXHIGHNY-25FEB08-B32.5,2025-02-08 16:10:00+00:00,2025-02-08 16:11:00+00:00,2025-02-15 15:00:00+00:00,2025-02-08 16:00:00+00:00,10.0,0.3975325348025835,BUY_YES,0.11,0.1,kalshi_candlestick,yes_ask_open,1.0,1,0.11,0.01,0.009999999999999995,0.12,0.2775325348025835,0.13731035062524277,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.99,-0.11,-0.12
11,NYC,2025-02-08,KXHIGHNY-25FEB08,KXHIGHNY-25FEB08-B34.5,2025-02-08 16:10:00+00:00,2025-02-08 16:11:00+00:00,2025-02-15 15:00:00+00:00,2025-02-08 16:00:00+00:00,10.0,0.6024674651974166,BUY_YES,0.37,0.36,kalshi_candlestick,yes_ask_open,1.0,1,0.37,0.02,0.010000000000000009,0.39,0.21246746519741658,0.0722452810200759,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.99,0.63,0.61
12,NYC,2025-02-09,KXHIGHNY-25FEB09,KXHIGHNY-25FEB09-B35.5,2025-02-09 15:35:00+00:00,2025-02-09 15:36:00+00:00,2025-02-16 15:00:00+00:00,2025-02-09 15:00:00+00:00,35.0,0.47651878684040433,BUY_YES,0.09,0.08,kalshi_candlestick,yes_ask_open,1.0,1,0.09,0.01,0.009999999999999995,0.09999999999999999,0.3765187868404043,0.058125332167966705,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.99,0.91,0.9
13,NYC,2025-03-02,KXHIGHNY-25MAR02,KXHIGHNY-25MAR02-B31.5,2025-03-02 06:40:00+00:00,2025-03-02 06:45:00+00:00,2025-03-09 15:00:00+00:00,2025-03-02 06:00:00+00:00,40.0,0.3920280731648164,BUY_YES,0.18000000000000002,0.17,kalshi_candlestick,yes_ask_open,5.0,1,0.18000000000000002,0.01999999999999998,0.010000000000000009,0.2,0.1920280731648164,0.0624671075530497,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.79,-0.18000000000000002,-0.2
14,NYC,2025-03-11,KXHIGHNY-25MAR11,KXHIGHNY-25MAR11-B62.5,2025-03-11 04:45:00+00:00,2025-03-11 04:46:00+00:00,2025-03-18 14:00:00+00:00,2025-03-11 04:00:00+00:00,45.0,0.4486401935175545,BUY_YES,0.26,0.25,kalshi_candlestick,yes_ask_open,1.0,1,0.26,0.02,0.010000000000000009,0.28,0.16864019351755452,0.06424991567476014,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.37,-0.26,-0.28
15,NYC,2025-03-16,KXHIGHNY-25MAR16,KXHIGHNY-25MAR16-B63.5,2025-03-16 17:30:00+00:00,2025-03-16 17:31:00+00:00,2025-03-23 14:00:00+00:00,2025-03-16 17:00:00+00:00,30.0,0.40043062720104344,BUY_YES,0.13,0.12,kalshi_candlestick,yes_ask_open,1.0,1,0.13,0.01,0.010000000000000009,0.14,0.26043062720104343,0.061477981227634766,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.37,-0.13,-0.14
16,NYC,2025-04-02,KXHIGHNY-25APR02,KXHIGHNY-25APR02-T46,2025-04-02 12:40:00+00:00,2025-04-02 12:45:00+00:00,2025-04-09 14:00:00+00:00,2025-04-02 12:00:00+00:00,40.0,0.19831720615697612,BUY_YES,0.05,0.04,kalshi_candlestick,yes_ask_open,5.0,1,0.05,0.01,0.010000000000000002,0.060000000000000005,0.13831720615697612,0.05141598929417018,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.24,-0.05,-0.060000000000000005
17,NYC,2025-04-03,KXHIGHNY-25APR03,KXHIGHNY-25APR03-B72.5,2025-04-03 13:00:00+00:00,2025-04-03 13:02:00+00:00,2025-04-10 14:00:00+00:00,2025-04-03 13:00:00+00:00,0.0,0.5873878827607968,BUY_YES,0.31,0.3,kalshi_candlestick,yes_ask_open,2.0,1,0.31,0.02,0.010000000000000009,0.33,0.25738788276079677,0.060525056838709304,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.24,0.69,0.6699999999999999
18,NYC,2025-04-03,KXHIGHNY-25APR03,KXHIGHNY-25APR03-B74.5,2025-04-03 13:00:00+00:00,2025-04-03 13:01:00+00:00,2025-04-10 14:00:00+00:00,2025-04-03 13:00:00+00:00,0.0,0.41261211723920327,BUY_YES,0.12,0.11,kalshi_candlestick,yes_ask_open,1.0,1,0.12,0.01,0.009999999999999995,0.13,0.28261211723920326,0.08574929131711577,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.24,-0.12,-0.13
19,NYC,2025-04-06,KXHIGHNY-25APR06,KXHIGHNY-25APR06-B57.5,2025-04-06 04:10:00+00:00,2025-04-06 04:11:00+00:00,2025-04-13 14:00:00+00:00,2025-04-06 04:00:00+00:00,10.0,0.4116389085164523,BUY_YES,0.2,0.19,kalshi_candlestick,yes_ask_open,1.0,1,0.2,0.02,0.010000000000000009,0.22,0.1916389085164523,0.05584196632927958,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.47,-0.2,-0.22
20,NYC,2025-04-06,KXHIGHNY-25APR06,KXHIGHNY-25APR06-B55.5,2025-04-06 12:10:00+00:00,2025-04-06 12:11:00+00:00,2025-04-13 14:00:00+00:00,2025-04-06 12:00:00+00:00,10.0,0.5829215067511551,BUY_YES,0.37,0.36,kalshi_candlestick,yes_ask_open,1.0,1,0.37,0.02,0.010000000000000009,0.39,0.19292150675115508,0.0774901131018892,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.47,0.63,0.61
21,NYC,2025-04-13,KXHIGHNY-25APR13,KXHIGHNY-25APR13-B57.5,2025-04-13 06:35:00+00:00,2025-04-13 06:36:00+00:00,2025-04-20 14:00:00+00:00,2025-04-13 06:00:00+00:00,35.0,0.586143295891548,BUY_YES,0.29000000000000004,0.28,kalshi_candlestick,yes_ask_open,1.0,1,0.29000000000000004,0.01999999999999996,0.010000000000000009,0.31,0.276143295891548,0.06061851882575314,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.72,0.71,0.69
22,NYC,2025-04-13,KXHIGHNY-25APR13,KXHIGHNY-25APR13-B59.5,2025-04-13 06:35:00+00:00,2025-04-13 06:36:00+00:00,2025-04-20 14:00:00+00:00,2025-04-13 06:00:00+00:00,35.0,0.41385670410845204,BUY_YES,0.13,0.12,kalshi_candlestick,yes_ask_open,1.0,1,0.13,0.01,0.010000000000000009,0.14,0.27385670410845203,0.05833192704265717,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.72,-0.13,-0.14
23,NYC,2025-04-13,KXHIGHNY-25APR13,KXHIGHNY-25APR13-B55.5,2025-04-13 12:20:00+00:00,2025-04-13 12:21:00+00:00,2025-04-20 14:00:00+00:00,2025-04-13 12:00:00+00:00,20.0,0.4897837762820324,BUY_YES,0.3,0.29,kalshi_candlestick,yes_ask_open,1.0,1,0.3,0.02,0.010000000000000009,0.32,0.16978377628203242,0.059543060481781,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.72,-0.3,-0.32
24,NYC,2025-04-14,KXHIGHNY-25APR14,KXHIGHNY-25APR14-B67.5,2025-04-14 13:50:00+00:00,2025-04-14 13:52:00+00:00,2025-04-21 14:00:00+00:00,2025-04-14 13:00:00+00:00,50.0,0.30303665196984836,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,2.0,1,0.08,0.01,0.009999999999999995,0.09,0.21303665196984833,0.06599011080733488,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.72,-0.08,-0.09
25,NYC,2025-04-19,KXHIGHNY-25APR19,KXHIGHNY-25APR19-B83.5,2025-04-19 04:55:00+00:00,2025-04-19 04:56:00+00:00,2025-04-26 14:00:00+00:00,2025-04-19 04:00:00+00:00,55.0,0.5141827238100707,BUY_YES,0.33,0.32,kalshi_candlestick,yes_ask_open,1.0,1,0.33,0.02,0.010000000000000009,0.35000000000000003,0.16418272381007068,0.05859459054153317,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.47,-0.33,-0.35000000000000003
26,NYC,2025-04-19,KXHIGHNY-25APR19,KXHIGHNY-25APR19-B85.5,2025-04-19 04:55:00+00:00,2025-04-19 04:56:00+00:00,2025-04-26 14:00:00+00:00,2025-04-19 04:00:00+00:00,55.0,0.4858172761899293,BUY_YES,0.29000000000000004,0.28,kalshi_candlestick,yes_ask_open,1.0,1,0.29000000000000004,0.01999999999999996,0.010000000000000009,0.31,0.17581727618992932,0.07022914292139187,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.47,0.71,0.69
27,NYC,2025-04-21,KXHIGHNY-25APR21,KXHIGHNY-25APR21-B56.5,2025-04-21 15:55:00+00:00,2025-04-21 15:56:00+00:00,2025-04-28 14:00:00+00:00,2025-04-21 15:00:00+00:00,55.0,0.4873098776383863,BUY_YES,0.12,0.11,kalshi_candlestick,yes_ask_open,1.0,1,0.12,0.01,0.009999999999999995,0.13,0.3573098776383863,0.1341477567716749,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1004.01,0.88,0.87
28,NYC,2025-04-26,KXHIGHNY-25APR26,KXHIGHNY-25APR26-B75.5,2025-04-26 04:55:00+00:00,2025-04-26 05:00:00+00:00,2025-05-03 14:00:00+00:00,2025-04-26 04:00:00+00:00,55.0,0.38384901984551945,BUY_YES,0.11,0.1,kalshi_candlestick,yes_ask_open,5.0,1,0.11,0.01,0.009999999999999995,0.12,0.26384901984551945,0.0774904026053782,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.55,-0.11,-0.12
29,NYC,2025-04-26,KXHIGHNY-25APR26,KXHIGHNY-25APR26-B69.5,2025-04-26 14:10:00+00:00,2025-04-26 14:11:00+00:00,2025-05-03 14:00:00+00:00,2025-04-26 14:00:00+00:00,10.0,0.3937462321247756,BUY_YES,0.06999999999999999,0.06,kalshi_candlestick,yes_ask_open,1.0,1,0.06999999999999999,0.01000000000000001,0.009999999999999995,0.08,0.3137462321247756,0.19472529629392948,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.55,-0.06999999999999999,-0.08
30,NYC,2025-04-26,KXHIGHNY-25APR26,KXHIGHNY-25APR26-B73.5,2025-04-26 14:10:00+00:00,2025-04-26 14:11:00+00:00,2025-05-03 14:00:00+00:00,2025-04-26 14:00:00+00:00,10.0,0.6062537678752244,BUY_YES,0.36,0.35,kalshi_candlestick,yes_ask_open,1.0,1,0.36,0.02,0.010000000000000009,0.38,0.22625376787522447,0.1072328320443784,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1004.55,0.64,0.62
31,NYC,2025-05-01,KXHIGHNY-25MAY01,KXHIGHNY-25MAY01-B70.5,2025-05-01 13:00:00+00:00,2025-05-01 13:01:00+00:00,2025-05-08 14:00:00+00:00,2025-05-01 13:00:00+00:00,0.0,0.6023318140418287,BUY_YES,0.33,0.32,kalshi_candlestick,yes_ask_open,1.0,1,0.33,0.02,0.010000000000000009,0.35000000000000003,0.25233181404182864,0.05023557759005477,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.55,0.6699999999999999,0.6499999999999999
32,NYC,2025-05-01,KXHIGHNY-25MAY01,KXHIGHNY-25MAY01-B72.5,2025-05-01 13:00:00+00:00,2025-05-01 13:01:00+00:00,2025-05-08 14:00:00+00:00,2025-05-01 13:00:00+00:00,0.0,0.3976681859581714,BUY_YES,0.09999999999999999,0.09,kalshi_candlestick,yes_ask_open,1.0,1,0.09999999999999999,0.01000000000000001,0.009999999999999995,0.11,0.2876681859581714,0.08557194950639745,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.55,-0.09999999999999999,-0.11
