trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
1,NYC,2025-05-01,KXHIGHNY-25MAY01,KXHIGHNY-25MAY01-B70.5,2025-05-01 13:00:00+00:00,2025-05-01 13:01:00+00:00,2025-05-08 14:00:00+00:00,2025-05-01 12:00:00+00:00,60.0,0.6105811801383503,BUY_YES,0.33,0.32,kalshi_candlestick,yes_ask_open,1.0,1,0.33,0.02,0.010000000000000009,0.35000000000000003,0.26058118013835024,0.14335820482364067,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.4699999999999,0.6699999999999999,0.6499999999999999
2,NYC,2025-05-01,KXHIGHNY-25MAY01,KXHIGHNY-25MAY01-B72.5,2025-05-01 13:00:00+00:00,2025-05-01 13:01:00+00:00,2025-05-08 14:00:00+00:00,2025-05-01 12:00:00+00:00,60.0,0.38941881986164967,BUY_YES,0.09999999999999999,0.09,kalshi_candlestick,yes_ask_open,1.0,1,0.09999999999999999,0.01000000000000001,0.009999999999999995,0.11,0.2794188198616497,0.16219584454694003,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.4699999999999,-0.09999999999999999,-0.11
3,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B60.5,2025-05-05 14:15:00+00:00,2025-05-05 14:16:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.2881069312888435,BUY_YES,0.060000000000000005,0.05,kalshi_candlestick,yes_ask_open,1.0,1,0.060000000000000005,0.009999999999999995,0.010000000000000002,0.07,0.2181069312888435,0.05548258039271049,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.8199999999999,0.94,0.9299999999999999
4,NYC,2025-05-10,KXHIGHNY-25MAY10,KXHIGHNY-25MAY10-B74.5,2025-05-10 13:00:00+00:00,2025-05-10 13:01:00+00:00,2025-05-17 14:00:00+00:00,2025-05-10 13:00:00+00:00,0.0,0.4389044532191387,BUY_YES,0.24000000000000002,0.23,kalshi_candlestick,yes_ask_open,1.0,1,0.24000000000000002,0.01999999999999998,0.010000000000000009,0.26,0.17890445321913867,0.060557550984895694,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.56,-0.24000000000000002,-0.26
5,NYC,2025-05-10,KXHIGHNY-25MAY10,KXHIGHNY-25MAY10-B72.5,2025-05-10 13:40:00+00:00,2025-05-10 13:41:00+00:00,2025-05-17 14:00:00+00:00,2025-05-10 13:00:00+00:00,40.0,0.5563182498276728,BUY_YES,0.37,0.36,kalshi_candlestick,yes_ask_open,1.0,1,0.37,0.02,0.010000000000000009,0.39,0.16631824982767276,0.05285465166618676,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.56,0.63,0.61
6,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B69.5,2025-05-15 05:25:00+00:00,2025-05-15 05:26:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 05:00:00+00:00,25.0,0.4748083299521461,BUY_YES,0.24000000000000002,0.23,kalshi_candlestick,yes_ask_open,1.0,1,0.24000000000000002,0.01999999999999998,0.010000000000000009,0.26,0.2148083299521461,0.05515749239441249,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.56,0.76,0.74
7,NYC,2025-06-20,KXHIGHNY-25JUN20,KXHIGHNY-25JUN20-B85.5,2025-06-20 15:25:00+00:00,2025-06-20 15:26:00+00:00,2025-06-27 14:00:00+00:00,2025-06-20 15:00:00+00:00,25.0,0.4916600927199299,BUY_YES,0.24000000000000002,0.23,kalshi_candlestick,yes_ask_open,1.0,1,0.24000000000000002,0.01999999999999998,0.010000000000000009,0.26,0.23166009271992985,0.1114263904383558,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.1899999999999,-0.24000000000000002,-0.26
8,NYC,2025-06-21,KXHIGHNY-25JUN21,KXHIGHNY-25JUN21-B86.5,2025-06-21 15:35:00+00:00,2025-06-21 15:36:00+00:00,2025-06-28 14:00:00+00:00,2025-06-21 15:00:00+00:00,35.0,0.7456857871824901,BUY_YES,0.4,0.39,kalshi_candlestick,yes_ask_open,1.0,1,0.4,0.02,0.010000000000000009,0.42000000000000004,0.3256857871824901,0.13167466143272458,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.1899999999999,0.6,0.58
9,NYC,2025-06-21,KXHIGHNY-25JUN21,KXHIGHNY-25JUN21-B88.5,2025-06-21 17:10:00+00:00,2025-06-21 17:11:00+00:00,2025-06-28 14:00:00+00:00,2025-06-21 17:00:00+00:00,10.0,0.22326080668726117,BUY_YES,0.06999999999999999,0.06,kalshi_candlestick,yes_ask_open,1.0,1,0.06999999999999999,0.01000000000000001,0.009999999999999995,0.08,0.14326080668726116,0.05585783428425929,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.1899999999999,-0.06999999999999999,-0.08
10,NYC,2025-06-27,KXHIGHNY-25JUN27,KXHIGHNY-25JUN27-B73.5,2025-06-27 06:00:00+00:00,2025-06-27 06:01:00+00:00,2025-07-04 14:00:00+00:00,2025-06-27 06:00:00+00:00,0.0,0.5304027844802971,BUY_YES,0.32,0.31,kalshi_candlestick,yes_ask_open,1.0,1,0.32,0.02,0.010000000000000009,0.34,0.1904027844802971,0.05677206643528722,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.5999999999999,-0.32,-0.34
