trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
1,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B70.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.2712550020613831,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,1,0.08,0.01,0.009999999999999995,0.09,0.18125500206138306,0.08410529098709571,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.4,-0.08,-0.09
2,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-B64.5,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.561353530045949,BUY_YES,0.31,0.3,kalshi_candlestick,yes_ask_open,1.0,1,0.31,0.02,0.010000000000000009,0.33,0.23135353004594902,0.09648020829063554,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.4,0.69,0.6699999999999999
3,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-T62,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.4386464699540509,BUY_YES,0.17,0.16,kalshi_candlestick,yes_ask_open,1.0,1,0.17,0.01,0.010000000000000009,0.18000000000000002,0.25864646995405083,0.12377314819873735,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.4,-0.17,-0.18000000000000002
4,NYC,2025-05-31,KXHIGHNY-25MAY31,KXHIGHNY-25MAY31-B70.5,2025-05-31 14:50:00+00:00,2025-05-31 14:51:00+00:00,2025-06-07 14:00:00+00:00,2025-05-31 14:00:00+00:00,50.0,0.3697035786096066,BUY_YES,0.14,0.13,kalshi_candlestick,yes_ask_open,1.0,1,0.14,0.01,0.010000000000000009,0.15000000000000002,0.2197035786096066,0.08808272544473812,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.8800000000001,-0.14,-0.15000000000000002
5,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B84.5,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.2974133487814971,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,1.0,1,0.04,0.01,0.010000000000000002,0.05,0.24741334878149712,0.13135695770393022,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.8800000000001,-0.04,-0.05
6,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-T84,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.28884463715789305,BUY_YES,0.03,0.02,kalshi_candlestick,yes_ask_open,1.0,1,0.03,0.01,0.009999999999999998,0.04,0.24884463715789307,0.13129087723966867,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.8800000000001,-0.03,-0.04
7,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B86.5,2025-06-05 14:35:00+00:00,2025-06-05 14:36:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 14:00:00+00:00,35.0,0.5162575599143113,BUY_YES,0.26,0.25,kalshi_candlestick,yes_ask_open,1.0,1,0.26,0.02,0.010000000000000009,0.28,0.23625755991431133,0.05207458039576042,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.8800000000001,0.74,0.72
8,NYC,2025-06-12,KXHIGHNY-25JUN12,KXHIGHNY-25JUN12-B91.5,2025-06-12 15:25:00+00:00,2025-06-12 15:26:00+00:00,2025-06-19 14:00:00+00:00,2025-06-12 15:00:00+00:00,25.0,0.3410802257295138,BUY_YES,0.11,0.1,kalshi_candlestick,yes_ask_open,1.0,1,0.11,0.01,0.009999999999999995,0.12,0.2210802257295138,0.10860721417467964,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.3900000000002,-0.11,-0.12
9,NYC,2025-06-15,KXHIGHNY-25JUN15,KXHIGHNY-25JUN15-B64.5,2025-06-15 18:05:00+00:00,2025-06-15 18:06:00+00:00,2025-06-22 14:00:00+00:00,2025-06-15 18:00:00+00:00,5.0,0.6857910069773061,BUY_YES,0.29000000000000004,0.28,kalshi_candlestick,yes_ask_open,1.0,1,0.29000000000000004,0.01999999999999996,0.010000000000000009,0.31,0.3757910069773061,0.09254571860971339,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.9700000000003,0.71,0.69
10,NYC,2025-06-15,KXHIGHNY-25JUN15,KXHIGHNY-25JUN15-B66.5,2025-06-15 18:40:00+00:00,2025-06-15 18:41:00+00:00,2025-06-22 14:00:00+00:00,2025-06-15 18:00:00+00:00,40.0,0.3934540096703533,BUY_YES,0.05,0.04,kalshi_candlestick,yes_ask_open,1.0,1,0.05,0.01,0.010000000000000002,0.060000000000000005,0.3334540096703533,0.09885923301707616,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.9700000000003,-0.05,-0.060000000000000005
