trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
1,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B62.5,2025-05-05 14:15:00+00:00,2025-05-05 14:17:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.9410871992832857,BUY_YES,0.64,0.63,kalshi_candlestick,yes_ask_open,2.0,1,0.64,0.02,0.010000000000000009,0.66,0.2810871992832856,0.14081269884093697,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.34,-0.64,-0.66
2,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B69.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.775650646657539,BUY_YES,0.32,0.31,kalshi_candlestick,yes_ask_open,1.0,1,0.32,0.02,0.010000000000000009,0.34,0.435650646657539,0.19207226952615905,1,kalshi_result,next_candle_open,historical_proxy_validated,False,999.59,0.6799999999999999,0.6599999999999999
3,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B72.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.682619832663082,BUY_YES,0.39,0.38,kalshi_candlestick,yes_ask_open,1.0,1,0.39,0.02,0.010000000000000009,0.41000000000000003,0.272619832663082,0.11253400487728905,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.08,0.61,0.59
4,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-B64.5,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.5905782647366077,BUY_YES,0.31,0.3,kalshi_candlestick,yes_ask_open,1.0,1,0.31,0.02,0.010000000000000009,0.33,0.26057826473660767,0.12552818192967355,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.62,0.69,0.6699999999999999
5,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-T62,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.4094217352633924,BUY_YES,0.17,0.16,kalshi_candlestick,yes_ask_open,1.0,1,0.17,0.01,0.010000000000000009,0.18000000000000002,0.22942173526339235,0.09437165245645816,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.62,-0.17,-0.18000000000000002
6,NYC,2025-05-30,KXHIGHNY-25MAY30,KXHIGHNY-25MAY30-B75.5,2025-05-30 15:15:00+00:00,2025-05-30 15:17:00+00:00,2025-06-06 14:00:00+00:00,2025-05-30 15:00:00+00:00,15.0,0.626267590761335,BUY_YES,0.44,0.43,kalshi_candlestick,yes_ask_open,2.0,1,0.44,0.02,0.010000000000000009,0.46,0.166267590761335,0.05233886325975852,1,kalshi_result,next_candle_open,historical_proxy_validated,False,999.99,0.56,0.54
7,NYC,2025-05-31,KXHIGHNY-25MAY31,KXHIGHNY-25MAY31-T68,2025-05-31 14:50:00+00:00,2025-05-31 14:51:00+00:00,2025-06-07 14:00:00+00:00,2025-05-31 14:00:00+00:00,50.0,0.7246001987831463,BUY_YES,0.43,0.42,kalshi_candlestick,yes_ask_open,1.0,1,0.43,0.02,0.010000000000000009,0.45,0.2746001987831463,0.15561550647392283,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.99,0.5700000000000001,0.55
8,NYC,2025-06-01,KXHIGHNY-25JUN01,KXHIGHNY-25JUN01-B66.5,2025-06-01 15:50:00+00:00,2025-06-01 15:51:00+00:00,2025-06-08 14:00:00+00:00,2025-06-01 15:00:00+00:00,50.0,0.6484022269668651,BUY_YES,0.44,0.43,kalshi_candlestick,yes_ask_open,1.0,1,0.44,0.02,0.010000000000000009,0.46,0.18840222696686512,0.05938027058653901,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.22,0.56,0.54
9,NYC,2025-06-04,KXHIGHNY-25JUN04,KXHIGHNY-25JUN04-B82.5,2025-06-04 17:40:00+00:00,2025-06-04 17:41:00+00:00,2025-06-11 14:00:00+00:00,2025-06-04 17:00:00+00:00,40.0,0.7099498954578665,BUY_YES,0.37,0.36,kalshi_candlestick,yes_ask_open,1.0,1,0.37,0.02,0.010000000000000009,0.39,0.31994989545786645,0.11891919685580644,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.22,0.63,0.61
10,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B86.5,2025-06-05 13:05:00+00:00,2025-06-05 13:06:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,5.0,0.5288669800793446,BUY_YES,0.22,0.21,kalshi_candlestick,yes_ask_open,1.0,1,0.22,0.02,0.010000000000000009,0.24,0.28886698007934464,0.07292073779722995,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.22,0.78,0.76
