trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
1,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B69.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.7171423191476143,BUY_YES,0.32,0.31,kalshi_candlestick,yes_ask_open,1.0,1,0.32,0.02,0.010000000000000009,0.34,0.37714231914761426,0.126697575041939,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.5699999999999,0.6799999999999999,0.6599999999999999
2,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B70.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.2358863549734042,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,1,0.08,0.01,0.009999999999999995,0.09,0.1458863549734042,0.05164459920105798,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.06,-0.08,-0.09
3,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-B64.5,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.5896725669786147,BUY_YES,0.31,0.3,kalshi_candlestick,yes_ask_open,1.0,1,0.31,0.02,0.010000000000000009,0.33,0.2596725669786147,0.12458819413679202,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.06,0.69,0.6699999999999999
4,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-T62,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.41032743302138525,BUY_YES,0.17,0.16,kalshi_candlestick,yes_ask_open,1.0,1,0.17,0.01,0.010000000000000009,0.18000000000000002,0.23032743302138523,0.09524306017956256,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.06,-0.17,-0.18000000000000002
5,NYC,2025-05-31,KXHIGHNY-25MAY31,KXHIGHNY-25MAY31-B70.5,2025-05-31 14:50:00+00:00,2025-05-31 14:51:00+00:00,2025-06-07 14:00:00+00:00,2025-05-31 14:00:00+00:00,50.0,0.32531861812601653,BUY_YES,0.14,0.13,kalshi_candlestick,yes_ask_open,1.0,1,0.14,0.01,0.010000000000000009,0.15000000000000002,0.1753186181260165,0.05183449106468827,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.76,-0.14,-0.15000000000000002
6,NYC,2025-05-31,KXHIGHNY-25MAY31,KXHIGHNY-25MAY31-T68,2025-05-31 14:50:00+00:00,2025-05-31 14:51:00+00:00,2025-06-07 14:00:00+00:00,2025-05-31 14:00:00+00:00,50.0,0.6746813818739834,BUY_YES,0.43,0.42,kalshi_candlestick,yes_ask_open,1.0,1,0.43,0.02,0.010000000000000009,0.45,0.22468138187398343,0.10119725481265525,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.76,0.5700000000000001,0.55
7,NYC,2025-06-04,KXHIGHNY-25JUN04,KXHIGHNY-25JUN04-B82.5,2025-06-04 17:40:00+00:00,2025-06-04 17:41:00+00:00,2025-06-11 14:00:00+00:00,2025-06-04 17:00:00+00:00,40.0,0.6653033931147464,BUY_YES,0.37,0.36,kalshi_candlestick,yes_ask_open,1.0,1,0.37,0.02,0.010000000000000009,0.39,0.2753033931147464,0.07053339032909924,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.76,0.63,0.61
8,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B84.5,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.278649646031147,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,1.0,1,0.04,0.01,0.010000000000000002,0.05,0.22864964603114699,0.11618954868231228,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.76,-0.04,-0.05
9,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B86.5,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.45425316880786804,BUY_YES,0.2,0.19,kalshi_candlestick,yes_ask_open,1.0,1,0.2,0.02,0.010000000000000009,0.22,0.23425316880786803,0.08565992699624227,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.76,0.8,0.78
10,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-T84,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.26709718516098496,BUY_YES,0.03,0.02,kalshi_candlestick,yes_ask_open,1.0,1,0.03,0.01,0.009999999999999998,0.04,0.22709718516098495,0.10979513755702934,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.76,-0.03,-0.04
