trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
1,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B60.5,2025-05-05 14:15:00+00:00,2025-05-05 14:16:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.1501730528692295,BUY_YES,0.060000000000000005,0.05,kalshi_candlestick,yes_ask_open,1.0,1,0.060000000000000005,0.009999999999999995,0.010000000000000002,0.07,0.0801730528692295,0.014179446657302329,1,kalshi_result,next_candle_open,historical_proxy_validated,False,999.5500000000001,0.94,0.9299999999999999
2,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B62.5,2025-05-05 14:15:00+00:00,2025-05-05 14:17:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.8498269471307706,BUY_YES,0.64,0.63,kalshi_candlestick,yes_ask_open,2.0,1,0.64,0.02,0.010000000000000009,0.66,0.18982694713077056,0.08642191209120677,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.5500000000001,-0.64,-0.66
3,NYC,2025-05-08,KXHIGHNY-25MAY08,KXHIGHNY-25MAY08-B71.5,2025-05-08 14:35:00+00:00,2025-05-08 14:37:00+00:00,2025-05-15 14:00:00+00:00,2025-05-08 14:00:00+00:00,35.0,0.10389728923749426,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,2.0,1,0.04,0.01,0.010000000000000002,0.05,0.05389728923749427,0.0014097910317482521,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.5500000000001,-0.04,-0.05
4,NYC,2025-05-10,KXHIGHNY-25MAY10,KXHIGHNY-25MAY10-B72.5,2025-05-10 20:20:00+00:00,2025-05-10 20:21:00+00:00,2025-05-17 14:00:00+00:00,2025-05-10 20:00:00+00:00,20.0,0.864207699718811,BUY_YES,0.65,0.64,kalshi_candlestick,yes_ask_open,1.0,1,0.65,0.02,0.010000000000000009,0.67,0.19420769971881094,0.09315931007246338,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.12,0.35,0.32999999999999996
5,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B69.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.7156708123451629,BUY_YES,0.32,0.31,kalshi_candlestick,yes_ask_open,1.0,1,0.32,0.02,0.010000000000000009,0.34,0.3756708123451629,0.2591925931803211,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.11,0.6799999999999999,0.6599999999999999
6,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B71.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.28432918765483695,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,1,0.08,0.01,0.009999999999999995,0.09,0.19432918765483692,0.10091538165892558,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.11,-0.08,-0.09
7,NYC,2025-05-17,KXHIGHNY-25MAY17,KXHIGHNY-25MAY17-B80.5,2025-05-17 20:45:00+00:00,2025-05-17 20:46:00+00:00,2025-05-24 14:00:00+00:00,2025-05-17 20:00:00+00:00,45.0,0.6250337320493871,BUY_YES,0.46,0.45,kalshi_candlestick,yes_ask_open,1.0,1,0.46,0.02,0.010000000000000009,0.48000000000000004,0.14503373204938705,0.026202604007823333,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.6,-0.46,-0.48000000000000004
8,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B68.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.15958223211207664,BUY_YES,0.02,0.01,kalshi_candlestick,yes_ask_open,1.0,1,0.02,0.01,0.01,0.03,0.12958223211207665,0.061166799092170716,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.6,-0.02,-0.03
9,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B70.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.23061907676658328,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,1,0.08,0.01,0.009999999999999995,0.09,0.14061907676658325,0.05655949261745632,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.6,-0.08,-0.09
10,NYC,2025-05-18,KXHIGHNY-25MAY18,KXHIGHNY-25MAY18-B72.5,2025-05-18 14:30:00+00:00,2025-05-18 14:31:00+00:00,2025-05-25 14:00:00+00:00,2025-05-18 14:00:00+00:00,30.0,0.60979869112134,BUY_YES,0.39,0.38,kalshi_candlestick,yes_ask_open,1.0,1,0.39,0.02,0.010000000000000009,0.41000000000000003,0.19979869112134,0.08097776754433063,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.6,0.61,0.59
