location,prediction_time,n_rows,mean_error,median_error,std_error,min_error,p05_error,p25_error,p75_error,p95_error,max_error,missing_actual_high,missing_forecast_high,missing_forecast_error
ALL,ALL,38424,-0.863023,-0.9,2.260408,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,ALL,38424,-0.863023,-0.9,2.260408,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,00:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,01:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,02:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,03:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,04:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,05:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,06:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,07:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,08:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,09:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,10:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,11:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,12:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,13:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,14:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,15:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,16:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,17:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,18:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,19:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,20:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,21:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,22:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
ALL,23:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,00:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,01:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,02:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,03:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,04:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,05:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,06:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,07:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,08:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,09:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,10:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,11:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,12:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,13:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,14:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,15:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,16:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,17:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,18:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,19:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,20:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
NYC,21:00,1601,-0.863023,-0.9,2.261085,-15.4,-4.3,-2.3,0.5,2.9,10.5,0,0,0
